tag,attempt,temp_c,ready_s,pool_tokens,vram_before_mib,dur_s
K_00,1,38/46,40,67936,255,208
K_01,1,43/43,40,67936,255,208
C_01,1,45/44,40,39040,255,238
K_02,1,46/45,40,67936,255,209
C_02,1,46/46,40,39040,255,237
K_03,1,47/46,35,67936,255,204
C_03,1,47/46,35,39040,255,233
K_04,1,47/46,35,67936,255,204
C_04,1,47/46,35,39040,255,232
K_05,1,47/46,35,67936,255,204
C_05,1,47/46,35,39040,255,233
K_06,1,47/46,35,67936,255,204
C_06,1,47/46,35,39040,255,232
K_07,1,47/46,35,67936,255,204
C_07,1,47/47,35,39040,255,233
K_08,1,47/46,35,67936,255,203
C_08,1,47/46,35,39040,255,232
