# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/27 22:41:15.100, 0, 0, 22977, 24564, 39, 73.13
2026/08/27 22:41:15.103, 1, 0, 22758, 24564, 45, 54.03
2026/08/27 22:41:20.128, 0, 100, 22997, 24564, 49, 267.85
2026/08/27 22:41:20.131, 1, 100, 22778, 24564, 57, 261.31
2026/08/27 22:41:25.159, 0, 100, 22997, 24564, 50, 270.77
2026/08/27 22:41:25.162, 1, 100, 22778, 24564, 57, 260.81
2026/08/27 22:41:30.192, 0, 100, 22997, 24564, 48, 268.83
2026/08/27 22:41:30.195, 1, 100, 22778, 24564, 56, 263.58
2026/08/27 22:41:35.224, 0, 100, 22997, 24564, 48, 277.65
2026/08/27 22:41:35.229, 1, 100, 22778, 24564, 58, 270.50
2026/08/27 22:41:40.259, 0, 100, 22997, 24564, 51, 272.45
2026/08/27 22:41:40.263, 1, 100, 22778, 24564, 59, 264.87
2026/08/27 22:41:45.293, 0, 100, 22997, 24564, 49, 272.43
2026/08/27 22:41:45.297, 1, 100, 22778, 24564, 57, 266.37
2026/08/27 22:41:50.328, 0, 100, 22997, 24564, 50, 278.63
2026/08/27 22:41:50.332, 1, 100, 22778, 24564, 57, 270.97
2026/08/27 22:41:55.364, 0, 100, 22997, 24564, 50, 278.71
2026/08/27 22:41:55.369, 1, 100, 22778, 24564, 57, 271.67
2026/08/27 22:42:00.409, 0, 0, 22997, 24564, 43, 88.79
2026/08/27 22:42:00.415, 1, 0, 22778, 24564, 49, 103.95
2026/08/27 22:42:05.444, 0, 100, 22997, 24564, 50, 279.50
2026/08/27 22:42:05.448, 1, 100, 22778, 24564, 57, 272.29
2026/08/27 22:42:10.479, 0, 100, 22997, 24564, 51, 282.72
2026/08/27 22:42:10.483, 1, 100, 22778, 24564, 57, 275.24
2026/08/27 22:42:15.513, 0, 100, 22997, 24564, 54, 275.56
2026/08/27 22:42:15.517, 1, 100, 22778, 24564, 60, 268.42
2026/08/27 22:42:20.546, 0, 100, 22997, 24564, 52, 275.44
2026/08/27 22:42:20.550, 1, 100, 22778, 24564, 58, 268.10
2026/08/27 22:42:25.579, 0, 100, 22997, 24564, 52, 275.48
2026/08/27 22:42:25.583, 1, 100, 22778, 24564, 58, 268.28
2026/08/27 22:42:30.613, 0, 100, 22997, 24564, 52, 285.08
2026/08/27 22:42:30.617, 1, 100, 22778, 24564, 59, 277.29
2026/08/27 22:42:35.649, 0, 100, 22997, 24564, 54, 278.33
2026/08/27 22:42:35.653, 1, 100, 22778, 24564, 61, 269.89
2026/08/27 22:42:40.684, 0, 100, 22997, 24564, 54, 275.59
2026/08/27 22:42:40.688, 1, 100, 22778, 24564, 59, 267.08
2026/08/27 22:42:45.719, 0, 100, 22997, 24564, 53, 278.34
2026/08/27 22:42:45.723, 1, 100, 22778, 24564, 59, 270.34
2026/08/27 22:42:50.752, 0, 100, 22997, 24564, 53, 276.45
2026/08/27 22:42:50.756, 1, 100, 22778, 24564, 58, 268.04
2026/08/27 22:42:55.787, 0, 100, 22997, 24564, 53, 277.09
2026/08/27 22:42:55.791, 1, 100, 22778, 24564, 58, 269.23
2026/08/27 22:43:00.820, 0, 100, 22997, 24564, 56, 281.56
2026/08/27 22:43:00.823, 1, 100, 22778, 24564, 62, 271.08
2026/08/27 22:43:05.851, 0, 100, 22997, 24564, 56, 290.18
2026/08/27 22:43:05.855, 1, 100, 22778, 24564, 62, 281.44
2026/08/27 22:43:10.883, 0, 100, 22997, 24564, 54, 280.31
2026/08/27 22:43:10.888, 1, 100, 22778, 24564, 59, 271.58
2026/08/27 22:43:15.919, 0, 100, 22997, 24564, 54, 275.38
2026/08/27 22:43:15.924, 1, 100, 22778, 24564, 58, 268.04
2026/08/27 22:43:20.954, 0, 100, 22997, 24564, 54, 285.71
2026/08/27 22:43:20.959, 1, 100, 22778, 24564, 58, 276.38
2026/08/27 22:43:25.990, 0, 100, 22997, 24564, 54, 277.27
2026/08/27 22:43:25.994, 1, 100, 22778, 24564, 58, 269.53
2026/08/27 22:43:31.026, 0, 100, 22997, 24564, 55, 291.46
2026/08/27 22:43:31.031, 1, 100, 22778, 24564, 59, 282.70
2026/08/27 22:43:36.062, 0, 100, 22997, 24564, 55, 286.22
2026/08/27 22:43:36.066, 1, 100, 22778, 24564, 59, 277.14
2026/08/27 22:43:41.098, 0, 100, 22997, 24564, 55, 289.19
2026/08/27 22:43:41.103, 1, 100, 22778, 24564, 59, 280.32
2026/08/27 22:43:46.134, 0, 100, 22997, 24564, 55, 207.51
2026/08/27 22:43:46.139, 1, 100, 22778, 24564, 59, 202.51
2026/08/27 22:43:51.168, 0, 100, 22997, 24564, 58, 287.71
2026/08/27 22:43:51.171, 1, 100, 22778, 24564, 61, 274.11
