# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/27 19:16:23.131, 0, 0, 237, 24564, 41, 40.21
2026/08/27 19:16:23.135, 1, 0, 18, 24564, 41, 18.15
2026/08/27 19:16:28.163, 0, 0, 237, 24564, 41, 40.34
2026/08/27 19:16:28.167, 1, 0, 18, 24564, 41, 18.31
2026/08/27 19:16:33.193, 0, 0, 237, 24564, 40, 40.41
2026/08/27 19:16:33.196, 1, 0, 18, 24564, 41, 18.35
2026/08/27 19:16:38.254, 0, 0, 237, 24564, 40, 40.21
2026/08/27 19:16:38.268, 1, 0, 18, 24564, 41, 18.27
2026/08/27 19:16:43.295, 0, 18, 10151, 24564, 42, 167.87
2026/08/27 19:16:43.299, 1, 62, 10930, 24564, 47, 159.26
2026/08/27 19:16:48.327, 0, 0, 10149, 24564, 40, 73.69
2026/08/27 19:16:48.330, 1, 0, 9930, 24564, 43, 53.89
2026/08/27 19:16:53.356, 0, 0, 10149, 24564, 40, 73.54
2026/08/27 19:16:53.360, 1, 0, 9930, 24564, 43, 53.95
2026/08/27 19:16:58.390, 0, 90, 10269, 24564, 43, 100.01
2026/08/27 19:16:58.393, 1, 98, 10050, 24564, 47, 88.01
2026/08/27 19:17:03.422, 0, 0, 10149, 24564, 40, 77.03
2026/08/27 19:17:03.426, 1, 0, 9930, 24564, 44, 60.32
2026/08/27 19:17:08.451, 0, 0, 10989, 24564, 40, 119.46
2026/08/27 19:17:08.455, 1, 0, 10770, 24564, 45, 109.97
2026/08/27 19:17:13.481, 0, 0, 10989, 24564, 39, 73.51
2026/08/27 19:17:13.484, 1, 0, 10770, 24564, 44, 53.88
2026/08/27 19:17:18.510, 0, 97, 21937, 24564, 47, 211.11
2026/08/27 19:17:18.516, 1, 69, 21720, 24564, 54, 191.90
2026/08/27 19:17:23.542, 0, 0, 23393, 24564, 40, 116.65
2026/08/27 19:17:23.546, 1, 0, 23174, 24564, 47, 104.15
2026/08/27 19:17:28.572, 0, 0, 23537, 24564, 39, 86.93
2026/08/27 19:17:28.576, 1, 0, 23318, 24564, 45, 67.92
2026/08/27 19:17:33.610, 0, 0, 23537, 24564, 39, 73.21
2026/08/27 19:17:33.617, 1, 0, 23318, 24564, 45, 54.18
2026/08/27 19:17:38.660, 0, 0, 23537, 24564, 39, 73.07
2026/08/27 19:17:38.667, 1, 0, 23318, 24564, 44, 54.12
2026/08/27 19:17:43.714, 0, 0, 23537, 24564, 38, 66.73
2026/08/27 19:17:43.724, 1, 0, 23318, 24564, 43, 50.57
2026/08/27 19:17:48.763, 0, 0, 23537, 24564, 38, 40.11
2026/08/27 19:17:48.772, 1, 0, 23318, 24564, 42, 19.02
2026/08/27 19:17:53.802, 0, 100, 23557, 24564, 47, 254.07
2026/08/27 19:17:53.811, 1, 80, 23338, 24564, 53, 147.29
2026/08/27 19:17:58.855, 0, 0, 23557, 24564, 39, 73.10
2026/08/27 19:17:58.861, 1, 0, 23338, 24564, 43, 53.94
2026/08/27 19:18:03.898, 0, 0, 23557, 24564, 39, 73.13
2026/08/27 19:18:03.904, 1, 0, 23338, 24564, 43, 54.03
2026/08/27 19:18:08.938, 0, 0, 23557, 24564, 38, 72.96
2026/08/27 19:18:08.946, 1, 0, 23338, 24564, 43, 53.98
2026/08/27 19:18:13.997, 0, 0, 23557, 24564, 37, 39.80
2026/08/27 19:18:14.007, 1, 0, 23338, 24564, 42, 19.49
2026/08/27 19:18:19.055, 0, 0, 23557, 24564, 37, 39.43
2026/08/27 19:18:19.064, 1, 0, 23338, 24564, 42, 18.50
2026/08/27 19:18:24.094, 0, 0, 23557, 24564, 37, 39.37
2026/08/27 19:18:24.102, 1, 0, 23338, 24564, 42, 18.47
2026/08/27 19:18:29.140, 0, 0, 23557, 24564, 37, 38.73
2026/08/27 19:18:29.148, 1, 0, 23338, 24564, 42, 18.54
2026/08/27 19:18:34.195, 0, 0, 23557, 24564, 38, 34.94
2026/08/27 19:18:34.204, 1, 0, 23338, 24564, 42, 18.42
2026/08/27 19:18:39.240, 0, 0, 23557, 24564, 38, 34.96
2026/08/27 19:18:39.248, 1, 0, 23338, 24564, 42, 18.48
2026/08/27 19:18:44.283, 0, 0, 23557, 24564, 38, 35.30
2026/08/27 19:18:44.291, 1, 0, 23338, 24564, 42, 18.48
2026/08/27 19:18:49.335, 0, 0, 23557, 24564, 38, 35.11
2026/08/27 19:18:49.343, 1, 0, 23338, 24564, 42, 18.47
2026/08/27 19:18:54.379, 0, 0, 23557, 24564, 38, 35.38
2026/08/27 19:18:54.386, 1, 0, 23338, 24564, 42, 18.48
2026/08/27 19:18:59.423, 0, 0, 23557, 24564, 38, 35.11
2026/08/27 19:18:59.430, 1, 0, 23338, 24564, 42, 18.35
2026/08/27 19:19:04.466, 0, 0, 23557, 24564, 38, 35.28
2026/08/27 19:19:04.474, 1, 0, 23338, 24564, 42, 18.31
