# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/27 22:44:33.361, 0, 0, 22977, 24564, 45, 74.38
2026/08/27 22:44:33.363, 1, 0, 22758, 24564, 45, 54.12
2026/08/27 22:44:38.388, 0, 100, 22997, 24564, 55, 278.69
2026/08/27 22:44:38.390, 1, 100, 22778, 24564, 59, 261.44
2026/08/27 22:44:43.417, 0, 100, 22997, 24564, 54, 276.66
2026/08/27 22:44:43.420, 1, 100, 22778, 24564, 57, 258.80
2026/08/27 22:44:48.449, 0, 100, 22997, 24564, 57, 281.52
2026/08/27 22:44:48.452, 1, 100, 22778, 24564, 59, 263.85
2026/08/27 22:44:53.479, 0, 100, 22997, 24564, 55, 283.12
2026/08/27 22:44:53.482, 1, 100, 22778, 24564, 59, 265.36
2026/08/27 22:44:58.510, 0, 100, 22997, 24564, 58, 285.72
2026/08/27 22:44:58.513, 1, 100, 22778, 24564, 60, 269.51
2026/08/27 22:45:03.539, 0, 100, 22997, 24564, 56, 286.43
2026/08/27 22:45:03.542, 1, 100, 22778, 24564, 61, 269.96
2026/08/27 22:45:08.569, 0, 100, 22997, 24564, 57, 287.35
2026/08/27 22:45:08.573, 1, 100, 22778, 24564, 59, 272.02
2026/08/27 22:45:13.601, 0, 100, 22997, 24564, 56, 293.92
2026/08/27 22:45:13.604, 1, 100, 22778, 24564, 59, 277.82
2026/08/27 22:45:18.631, 0, 100, 22997, 24564, 56, 293.54
2026/08/27 22:45:18.634, 1, 100, 22778, 24564, 62, 279.85
2026/08/27 22:45:23.661, 0, 100, 22997, 24564, 59, 289.50
2026/08/27 22:45:23.664, 1, 100, 22778, 24564, 60, 274.65
2026/08/27 22:45:28.696, 0, 100, 22997, 24564, 57, 294.10
2026/08/27 22:45:28.699, 1, 100, 22778, 24564, 62, 280.69
2026/08/27 22:45:33.727, 0, 100, 22997, 24564, 59, 294.36
2026/08/27 22:45:33.731, 1, 100, 22778, 24564, 61, 280.76
2026/08/27 22:45:38.758, 0, 100, 22997, 24564, 59, 289.13
2026/08/27 22:45:38.761, 1, 100, 22778, 24564, 63, 274.51
2026/08/27 22:45:43.788, 0, 100, 22997, 24564, 59, 292.54
2026/08/27 22:45:43.792, 1, 100, 22778, 24564, 61, 278.67
2026/08/27 22:45:48.819, 0, 100, 22997, 24564, 58, 291.59
2026/08/27 22:45:48.823, 1, 100, 22778, 24564, 61, 276.22
2026/08/27 22:45:53.849, 0, 100, 22997, 24564, 60, 292.02
2026/08/27 22:45:53.852, 1, 100, 22778, 24564, 61, 277.83
2026/08/27 22:45:58.879, 0, 100, 22997, 24564, 61, 293.01
2026/08/27 22:45:58.882, 1, 100, 22778, 24564, 62, 277.12
2026/08/27 22:46:03.908, 0, 100, 22997, 24564, 61, 294.91
2026/08/27 22:46:03.911, 1, 100, 22778, 24564, 61, 278.98
2026/08/27 22:46:08.937, 0, 100, 22997, 24564, 59, 293.57
2026/08/27 22:46:08.940, 1, 100, 22778, 24564, 61, 277.26
2026/08/27 22:46:13.968, 0, 100, 22997, 24564, 59, 292.33
2026/08/27 22:46:13.971, 1, 100, 22778, 24564, 62, 276.47
2026/08/27 22:46:18.997, 0, 100, 22997, 24564, 61, 292.78
2026/08/27 22:46:19.000, 1, 100, 22778, 24564, 64, 276.02
2026/08/27 22:46:24.026, 0, 100, 22997, 24564, 60, 295.80
2026/08/27 22:46:24.029, 1, 100, 22778, 24564, 61, 279.67
2026/08/27 22:46:29.058, 0, 100, 22997, 24564, 62, 292.12
2026/08/27 22:46:29.061, 1, 100, 22778, 24564, 62, 277.45
2026/08/27 22:46:34.086, 0, 100, 22997, 24564, 61, 296.40
2026/08/27 22:46:34.090, 1, 100, 22778, 24564, 62, 280.58
2026/08/27 22:46:39.117, 0, 100, 22997, 24564, 62, 299.04
2026/08/27 22:46:39.120, 1, 100, 22778, 24564, 63, 284.47
2026/08/27 22:46:44.147, 0, 100, 22997, 24564, 61, 294.03
2026/08/27 22:46:44.150, 1, 100, 22778, 24564, 62, 279.46
2026/08/27 22:46:49.177, 0, 100, 22997, 24564, 59, 292.51
2026/08/27 22:46:49.180, 1, 100, 22778, 24564, 63, 278.74
2026/08/27 22:46:54.209, 0, 100, 22997, 24564, 59, 298.54
2026/08/27 22:46:54.212, 1, 100, 22778, 24564, 61, 282.91
2026/08/27 22:46:59.239, 0, 100, 22997, 24564, 62, 295.51
2026/08/27 22:46:59.243, 1, 100, 22778, 24564, 63, 279.39
2026/08/27 22:47:04.268, 0, 100, 22997, 24564, 60, 294.71
2026/08/27 22:47:04.272, 1, 100, 22778, 24564, 63, 279.84
2026/08/27 22:47:09.299, 0, 100, 22997, 24564, 61, 294.59
2026/08/27 22:47:09.302, 1, 100, 22778, 24564, 63, 278.96
2026/08/27 22:47:14.329, 0, 100, 22997, 24564, 59, 299.50
2026/08/27 22:47:14.332, 1, 100, 22778, 24564, 61, 284.82
2026/08/27 22:47:19.361, 0, 100, 22997, 24564, 62, 296.10
2026/08/27 22:47:19.365, 1, 100, 22778, 24564, 64, 280.97
2026/08/27 22:47:24.394, 0, 100, 22997, 24564, 62, 297.21
2026/08/27 22:47:24.397, 1, 100, 22778, 24564, 64, 282.33
2026/08/27 22:47:29.425, 0, 100, 22997, 24564, 60, 298.29
2026/08/27 22:47:29.429, 1, 100, 22778, 24564, 61, 283.22
2026/08/27 22:47:34.458, 0, 100, 22997, 24564, 60, 296.13
2026/08/27 22:47:34.462, 1, 100, 22778, 24564, 64, 279.74
2026/08/27 22:47:39.490, 0, 100, 22997, 24564, 60, 293.85
2026/08/27 22:47:39.493, 1, 100, 22778, 24564, 64, 277.37
2026/08/27 22:47:44.520, 0, 100, 22997, 24564, 62, 301.96
2026/08/27 22:47:44.523, 1, 100, 22778, 24564, 62, 286.39
2026/08/27 22:47:49.551, 0, 100, 22997, 24564, 59, 297.99
2026/08/27 22:47:49.555, 1, 100, 22778, 24564, 62, 282.20
2026/08/27 22:47:54.582, 0, 100, 22997, 24564, 62, 297.20
2026/08/27 22:47:54.585, 1, 100, 22778, 24564, 62, 280.14
2026/08/27 22:47:59.616, 0, 100, 22997, 24564, 60, 295.40
2026/08/27 22:47:59.619, 1, 100, 22778, 24564, 64, 279.68
2026/08/27 22:48:04.647, 0, 100, 22997, 24564, 62, 291.83
2026/08/27 22:48:04.650, 1, 100, 22778, 24564, 62, 275.71
2026/08/27 22:48:09.679, 0, 100, 22997, 24564, 60, 298.64
2026/08/27 22:48:09.682, 1, 100, 22778, 24564, 62, 282.91
2026/08/27 22:48:14.709, 0, 100, 22997, 24564, 62, 294.91
2026/08/27 22:48:14.713, 1, 100, 22778, 24564, 64, 279.18
2026/08/27 22:48:19.743, 0, 100, 22997, 24564, 61, 292.58
2026/08/27 22:48:19.746, 1, 100, 22778, 24564, 62, 279.70
2026/08/27 22:48:24.772, 0, 100, 22997, 24564, 60, 293.30
2026/08/27 22:48:24.776, 1, 100, 22778, 24564, 64, 277.87
2026/08/27 22:48:29.802, 0, 100, 22997, 24564, 60, 295.15
2026/08/27 22:48:29.804, 1, 100, 22778, 24564, 63, 279.84
2026/08/27 22:48:34.832, 0, 100, 22997, 24564, 62, 296.61
2026/08/27 22:48:34.836, 1, 100, 22778, 24564, 63, 283.33
2026/08/27 22:48:39.863, 0, 100, 22997, 24564, 60, 297.28
2026/08/27 22:48:39.866, 1, 100, 22778, 24564, 65, 282.16
2026/08/27 22:48:44.893, 0, 100, 22997, 24564, 61, 293.35
2026/08/27 22:48:44.897, 1, 100, 22778, 24564, 64, 278.15
2026/08/27 22:48:49.924, 0, 100, 22997, 24564, 63, 301.58
2026/08/27 22:48:49.927, 1, 100, 22778, 24564, 63, 285.89
2026/08/27 22:48:54.954, 0, 100, 22997, 24564, 61, 295.42
2026/08/27 22:48:54.957, 1, 100, 22778, 24564, 63, 279.52
2026/08/27 22:48:59.985, 0, 100, 22997, 24564, 61, 296.05
2026/08/27 22:48:59.988, 1, 100, 22778, 24564, 63, 280.07
2026/08/27 22:49:05.015, 0, 100, 22997, 24564, 60, 297.20
2026/08/27 22:49:05.019, 1, 100, 22778, 24564, 64, 280.32
2026/08/27 22:49:10.046, 0, 100, 22997, 24564, 62, 294.62
2026/08/27 22:49:10.049, 1, 100, 22778, 24564, 62, 278.51
2026/08/27 22:49:15.076, 0, 100, 22997, 24564, 59, 303.23
2026/08/27 22:49:15.079, 1, 100, 22778, 24564, 62, 287.41
2026/08/27 22:49:20.107, 0, 100, 22997, 24564, 60, 293.07
2026/08/27 22:49:20.111, 1, 100, 22778, 24564, 62, 276.36
2026/08/27 22:49:25.139, 0, 100, 22997, 24564, 61, 293.47
2026/08/27 22:49:25.142, 1, 100, 22778, 24564, 63, 276.48
2026/08/27 22:49:30.169, 0, 100, 22997, 24564, 62, 293.52
2026/08/27 22:49:30.173, 1, 100, 22778, 24564, 64, 278.05
2026/08/27 22:49:35.200, 0, 100, 22997, 24564, 63, 294.28
2026/08/27 22:49:35.204, 1, 100, 22778, 24564, 64, 278.65
2026/08/27 22:49:40.232, 0, 100, 22997, 24564, 60, 301.86
2026/08/27 22:49:40.236, 1, 100, 22778, 24564, 62, 285.07
2026/08/27 22:49:45.264, 0, 100, 22997, 24564, 62, 297.10
2026/08/27 22:49:45.267, 1, 100, 22778, 24564, 63, 281.67
2026/08/27 22:49:50.297, 0, 100, 22997, 24564, 58, 286.68
2026/08/27 22:49:50.301, 1, 100, 22778, 24564, 59, 274.36
