# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/27 20:48:04.327, 0, 0, 16957, 24564, 45, 74.57
2026/08/27 20:48:04.331, 1, 0, 16738, 24564, 44, 54.02
2026/08/27 20:48:09.358, 0, 100, 16977, 24564, 55, 276.10
2026/08/27 20:48:09.363, 1, 100, 16758, 24564, 57, 260.89
2026/08/27 20:48:14.394, 0, 100, 16977, 24564, 53, 274.26
2026/08/27 20:48:14.401, 1, 100, 16758, 24564, 54, 257.12
2026/08/27 20:48:19.433, 0, 100, 16977, 24564, 55, 276.66
2026/08/27 20:48:19.438, 1, 100, 16758, 24564, 57, 264.01
2026/08/27 20:48:24.470, 0, 100, 16977, 24564, 54, 283.31
2026/08/27 20:48:24.476, 1, 100, 16758, 24564, 56, 268.81
2026/08/27 20:48:29.506, 0, 100, 16977, 24564, 55, 277.30
2026/08/27 20:48:29.513, 1, 100, 16758, 24564, 57, 263.74
2026/08/27 20:48:34.544, 0, 100, 16977, 24564, 54, 276.73
2026/08/27 20:48:34.551, 1, 100, 16758, 24564, 56, 264.17
2026/08/27 20:48:39.586, 0, 100, 16977, 24564, 54, 283.40
2026/08/27 20:48:39.594, 1, 100, 16758, 24564, 56, 269.01
2026/08/27 20:48:44.627, 0, 100, 16977, 24564, 54, 283.42
2026/08/27 20:48:44.636, 1, 100, 16758, 24564, 57, 271.26
2026/08/27 20:48:49.676, 0, 0, 16977, 24564, 47, 86.86
2026/08/27 20:48:49.682, 1, 0, 16758, 24564, 48, 68.56
2026/08/27 20:48:54.711, 0, 100, 16977, 24564, 55, 283.82
2026/08/27 20:48:54.719, 1, 100, 16758, 24564, 57, 271.74
2026/08/27 20:48:59.753, 0, 100, 16977, 24564, 57, 286.02
2026/08/27 20:48:59.758, 1, 100, 16758, 24564, 59, 273.34
2026/08/27 20:49:04.786, 0, 100, 16977, 24564, 55, 281.57
2026/08/27 20:49:04.793, 1, 100, 16758, 24564, 58, 269.18
2026/08/27 20:49:09.824, 0, 100, 16977, 24564, 57, 282.62
2026/08/27 20:49:09.832, 1, 100, 16758, 24564, 61, 269.47
2026/08/27 20:49:14.866, 0, 100, 16977, 24564, 56, 289.38
2026/08/27 20:49:14.871, 1, 100, 16758, 24564, 59, 278.41
2026/08/27 20:49:19.900, 0, 100, 16977, 24564, 59, 292.92
2026/08/27 20:49:19.906, 1, 100, 16758, 24564, 62, 278.81
2026/08/27 20:49:24.934, 0, 100, 16977, 24564, 58, 297.85
2026/08/27 20:49:24.940, 1, 100, 16758, 24564, 61, 283.84
2026/08/27 20:49:29.972, 0, 100, 16977, 24564, 58, 311.70
2026/08/27 20:49:29.978, 1, 100, 16758, 24564, 61, 299.34
2026/08/27 20:49:35.011, 0, 100, 16977, 24564, 58, 295.12
2026/08/27 20:49:35.018, 1, 100, 16758, 24564, 61, 279.99
2026/08/27 20:49:40.050, 0, 100, 16977, 24564, 59, 306.80
2026/08/27 20:49:40.057, 1, 100, 16758, 24564, 61, 294.73
2026/08/27 20:49:45.089, 0, 100, 16977, 24564, 61, 295.09
2026/08/27 20:49:45.095, 1, 100, 16758, 24564, 64, 278.79
2026/08/27 20:49:50.126, 0, 100, 16977, 24564, 58, 294.01
2026/08/27 20:49:50.133, 1, 100, 16758, 24564, 61, 278.40
2026/08/27 20:49:55.167, 0, 100, 16977, 24564, 60, 293.35
2026/08/27 20:49:55.172, 1, 100, 16758, 24564, 62, 277.99
2026/08/27 20:50:00.203, 0, 100, 16977, 24564, 59, 290.06
2026/08/27 20:50:00.208, 1, 100, 16758, 24564, 64, 274.23
2026/08/27 20:50:05.237, 0, 100, 16977, 24564, 60, 291.84
2026/08/27 20:50:05.242, 1, 100, 16758, 24564, 63, 275.65
2026/08/27 20:50:10.272, 0, 100, 16977, 24564, 61, 293.20
2026/08/27 20:50:10.277, 1, 100, 16758, 24564, 62, 278.34
2026/08/27 20:50:15.307, 0, 100, 16977, 24564, 60, 295.47
2026/08/27 20:50:15.313, 1, 100, 16758, 24564, 62, 280.36
2026/08/27 20:50:20.343, 0, 100, 16977, 24564, 58, 295.36
2026/08/27 20:50:20.350, 1, 100, 16758, 24564, 60, 281.11
2026/08/27 20:50:25.383, 0, 100, 16977, 24564, 59, 290.17
2026/08/27 20:50:25.388, 1, 100, 16758, 24564, 64, 275.93
2026/08/27 20:50:30.418, 0, 100, 16977, 24564, 59, 293.41
2026/08/27 20:50:30.425, 1, 100, 16758, 24564, 61, 278.48
2026/08/27 20:50:35.458, 0, 100, 16977, 24564, 60, 292.30
2026/08/27 20:50:35.463, 1, 100, 16758, 24564, 62, 278.09
2026/08/27 20:50:40.493, 0, 100, 16977, 24564, 62, 292.41
2026/08/27 20:50:40.499, 1, 100, 16758, 24564, 62, 277.80
2026/08/27 20:50:45.527, 0, 100, 16977, 24564, 59, 293.52
2026/08/27 20:50:45.532, 1, 100, 16758, 24564, 63, 280.02
2026/08/27 20:50:50.561, 0, 100, 16977, 24564, 58, 294.31
2026/08/27 20:50:50.567, 1, 100, 16758, 24564, 60, 281.30
2026/08/27 20:50:55.594, 0, 100, 16977, 24564, 62, 289.78
2026/08/27 20:50:55.600, 1, 100, 16758, 24564, 62, 276.73
2026/08/27 20:51:00.629, 0, 100, 16977, 24564, 61, 291.63
2026/08/27 20:51:00.634, 1, 100, 16758, 24564, 64, 274.57
2026/08/27 20:51:05.663, 0, 100, 16977, 24564, 62, 290.76
2026/08/27 20:51:05.668, 1, 100, 16758, 24564, 62, 274.66
2026/08/27 20:51:10.697, 0, 100, 16977, 24564, 61, 289.70
2026/08/27 20:51:10.702, 1, 100, 16758, 24564, 63, 273.34
2026/08/27 20:51:15.732, 0, 100, 16977, 24564, 61, 292.95
2026/08/27 20:51:15.737, 1, 100, 16758, 24564, 64, 275.41
