# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/27 19:19:11.074, 0, 0, 237, 24564, 40, 85.74
2026/08/27 19:19:11.077, 1, 0, 18, 24564, 44, 70.76
2026/08/27 19:19:16.101, 0, 0, 237, 24564, 38, 36.31
2026/08/27 19:19:16.105, 1, 0, 18, 24564, 43, 22.39
2026/08/27 19:19:21.136, 0, 0, 237, 24564, 38, 35.39
2026/08/27 19:19:21.140, 1, 0, 18, 24564, 43, 18.32
2026/08/27 19:19:26.172, 0, 0, 237, 24564, 38, 35.31
2026/08/27 19:19:26.175, 1, 0, 18, 24564, 43, 18.36
2026/08/27 19:19:31.205, 0, 0, 10151, 24564, 42, 151.66
2026/08/27 19:19:31.208, 1, 63, 10930, 24564, 49, 160.93
2026/08/27 19:19:36.236, 0, 57, 15563, 24564, 51, 201.76
2026/08/27 19:19:36.241, 1, 58, 15344, 24564, 50, 189.84
2026/08/27 19:19:41.269, 0, 0, 16957, 24564, 40, 95.57
2026/08/27 19:19:41.273, 1, 0, 16738, 24564, 46, 84.25
2026/08/27 19:19:46.308, 0, 0, 16957, 24564, 39, 73.54
2026/08/27 19:19:46.315, 1, 0, 16738, 24564, 46, 53.94
2026/08/27 19:19:51.350, 0, 0, 16957, 24564, 39, 73.41
2026/08/27 19:19:51.357, 1, 0, 16738, 24564, 46, 53.94
2026/08/27 19:19:56.395, 0, 0, 16957, 24564, 39, 73.47
2026/08/27 19:19:56.400, 1, 0, 16738, 24564, 46, 54.04
2026/08/27 19:20:01.440, 0, 0, 16957, 24564, 38, 39.49
2026/08/27 19:20:01.447, 1, 0, 16738, 24564, 45, 18.66
