# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/27 23:41:00.850, 0, 0, 21701, 24564, 47, 74.62
2026/08/27 23:41:00.852, 1, 0, 21482, 24564, 46, 54.09
2026/08/27 23:41:05.877, 0, 100, 21881, 24564, 57, 274.30
2026/08/27 23:41:05.880, 1, 100, 21662, 24564, 58, 260.50
2026/08/27 23:41:10.907, 0, 100, 21881, 24564, 56, 277.06
2026/08/27 23:41:10.911, 1, 100, 21662, 24564, 58, 260.24
2026/08/27 23:41:15.937, 0, 100, 21881, 24564, 55, 276.19
2026/08/27 23:41:15.940, 1, 100, 21662, 24564, 57, 263.20
2026/08/27 23:41:20.968, 0, 100, 21881, 24564, 55, 283.49
2026/08/27 23:41:20.972, 1, 100, 21662, 24564, 58, 271.21
2026/08/27 23:41:26.003, 0, 100, 21881, 24564, 56, 279.36
2026/08/27 23:41:26.007, 1, 100, 21662, 24564, 59, 265.31
2026/08/27 23:41:31.036, 0, 100, 21881, 24564, 57, 277.84
2026/08/27 23:41:31.040, 1, 100, 21662, 24564, 58, 266.96
2026/08/27 23:41:36.068, 0, 100, 21881, 24564, 58, 285.87
2026/08/27 23:41:36.072, 1, 100, 21662, 24564, 58, 270.99
2026/08/27 23:41:41.101, 0, 100, 21881, 24564, 56, 285.30
2026/08/27 23:41:41.105, 1, 100, 21662, 24564, 58, 271.96
2026/08/27 23:41:46.140, 0, 0, 21881, 24564, 49, 88.75
2026/08/27 23:41:46.144, 1, 0, 21662, 24564, 50, 102.29
2026/08/27 23:41:51.174, 0, 100, 21881, 24564, 57, 284.87
2026/08/27 23:41:51.178, 1, 100, 21662, 24564, 58, 271.11
2026/08/27 23:41:56.208, 0, 100, 21881, 24564, 57, 288.79
2026/08/27 23:41:56.211, 1, 100, 21662, 24564, 58, 274.78
2026/08/27 23:42:01.236, 0, 100, 21881, 24564, 59, 281.78
2026/08/27 23:42:01.240, 1, 100, 21662, 24564, 61, 269.32
2026/08/27 23:42:06.269, 0, 100, 21881, 24564, 57, 282.28
2026/08/27 23:42:06.274, 1, 100, 21662, 24564, 59, 269.11
2026/08/27 23:42:11.304, 0, 100, 21881, 24564, 57, 280.50
2026/08/27 23:42:11.308, 1, 100, 21662, 24564, 59, 269.17
2026/08/27 23:42:16.338, 0, 100, 21881, 24564, 58, 290.02
2026/08/27 23:42:16.342, 1, 100, 21662, 24564, 60, 278.51
2026/08/27 23:42:21.371, 0, 100, 21881, 24564, 60, 283.36
2026/08/27 23:42:21.374, 1, 100, 21662, 24564, 61, 271.35
2026/08/27 23:42:26.404, 0, 100, 21881, 24564, 60, 282.30
2026/08/27 23:42:26.408, 1, 100, 21662, 24564, 60, 268.54
2026/08/27 23:42:31.439, 0, 100, 21881, 24564, 58, 284.13
2026/08/27 23:42:31.442, 1, 100, 21662, 24564, 60, 270.41
2026/08/27 23:42:36.472, 0, 100, 21881, 24564, 57, 278.75
2026/08/27 23:42:36.476, 1, 100, 21662, 24564, 59, 269.12
2026/08/27 23:42:41.505, 0, 100, 21881, 24564, 58, 283.20
2026/08/27 23:42:41.509, 1, 100, 21662, 24564, 59, 270.31
2026/08/27 23:42:46.538, 0, 100, 21881, 24564, 60, 283.64
2026/08/27 23:42:46.541, 1, 100, 21662, 24564, 62, 271.56
2026/08/27 23:42:51.568, 0, 100, 21881, 24564, 59, 294.90
2026/08/27 23:42:51.572, 1, 100, 21662, 24564, 63, 281.64
2026/08/27 23:42:56.600, 0, 100, 21881, 24564, 58, 283.29
2026/08/27 23:42:56.604, 1, 100, 21662, 24564, 59, 271.38
2026/08/27 23:43:01.635, 0, 100, 21881, 24564, 58, 278.65
2026/08/27 23:43:01.639, 1, 100, 21662, 24564, 59, 267.36
2026/08/27 23:43:06.669, 0, 100, 21881, 24564, 58, 288.31
2026/08/27 23:43:06.674, 1, 100, 21662, 24564, 59, 275.75
2026/08/27 23:43:11.704, 0, 100, 21881, 24564, 58, 280.14
2026/08/27 23:43:11.708, 1, 100, 21662, 24564, 59, 268.28
2026/08/27 23:43:16.737, 0, 100, 21881, 24564, 58, 293.65
2026/08/27 23:43:16.741, 1, 100, 21662, 24564, 60, 282.51
2026/08/27 23:43:21.772, 0, 100, 21881, 24564, 58, 289.73
2026/08/27 23:43:21.776, 1, 100, 21662, 24564, 60, 276.92
2026/08/27 23:43:26.808, 0, 100, 21881, 24564, 58, 292.18
2026/08/27 23:43:26.812, 1, 100, 21662, 24564, 59, 280.35
2026/08/27 23:43:31.843, 0, 100, 21881, 24564, 58, 234.40
2026/08/27 23:43:31.847, 1, 100, 21662, 24564, 60, 204.47
2026/08/27 23:43:36.875, 0, 100, 21901, 24564, 62, 291.66
2026/08/27 23:43:36.878, 1, 100, 21682, 24564, 64, 276.98
