# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/27 22:34:35.124, 0, 0, 19357, 24564, 44, 74.00
2026/08/27 22:34:35.126, 1, 0, 19138, 24564, 45, 54.08
2026/08/27 22:34:40.150, 0, 100, 19377, 24564, 54, 272.17
2026/08/27 22:34:40.153, 1, 100, 19158, 24564, 54, 259.37
2026/08/27 22:34:45.180, 0, 100, 19377, 24564, 54, 275.82
2026/08/27 22:34:45.184, 1, 100, 19158, 24564, 58, 258.56
2026/08/27 22:34:50.212, 0, 100, 19377, 24564, 55, 275.49
2026/08/27 22:34:50.216, 1, 100, 19158, 24564, 58, 263.76
2026/08/27 22:34:55.242, 0, 100, 19377, 24564, 54, 282.55
2026/08/27 22:34:55.247, 1, 100, 19158, 24564, 58, 269.03
2026/08/27 22:35:00.278, 0, 100, 19377, 24564, 55, 275.77
2026/08/27 22:35:00.282, 1, 100, 19158, 24564, 58, 263.85
2026/08/27 22:35:05.312, 0, 100, 19377, 24564, 53, 276.87
2026/08/27 22:35:05.316, 1, 100, 19158, 24564, 57, 266.38
2026/08/27 22:35:10.347, 0, 100, 19377, 24564, 53, 283.01
2026/08/27 22:35:10.351, 1, 100, 19158, 24564, 57, 271.36
2026/08/27 22:35:15.383, 0, 100, 19377, 24564, 54, 283.02
2026/08/27 22:35:15.387, 1, 100, 19158, 24564, 57, 271.37
2026/08/27 22:35:20.421, 0, 0, 19377, 24564, 47, 110.94
2026/08/27 22:35:20.427, 1, 0, 19158, 24564, 49, 103.25
2026/08/27 22:35:25.462, 0, 100, 19377, 24564, 54, 282.59
2026/08/27 22:35:25.466, 1, 100, 19158, 24564, 57, 272.13
2026/08/27 22:35:30.496, 0, 100, 19377, 24564, 54, 286.11
2026/08/27 22:35:30.499, 1, 100, 19158, 24564, 57, 275.21
2026/08/27 22:35:35.528, 0, 100, 19377, 24564, 55, 278.35
2026/08/27 22:35:35.532, 1, 100, 19158, 24564, 58, 268.63
2026/08/27 22:35:40.561, 0, 100, 19377, 24564, 54, 278.01
2026/08/27 22:35:40.565, 1, 100, 19158, 24564, 59, 267.91
2026/08/27 22:35:45.596, 0, 100, 19377, 24564, 55, 278.85
2026/08/27 22:35:45.601, 1, 100, 19158, 24564, 58, 268.17
2026/08/27 22:35:50.630, 0, 100, 19377, 24564, 55, 288.33
2026/08/27 22:35:50.634, 1, 100, 19158, 24564, 59, 277.42
2026/08/27 22:35:55.663, 0, 100, 19377, 24564, 55, 281.04
2026/08/27 22:35:55.666, 1, 100, 19158, 24564, 58, 269.98
2026/08/27 22:36:00.696, 0, 100, 19377, 24564, 55, 279.34
2026/08/27 22:36:00.702, 1, 100, 19158, 24564, 58, 268.70
2026/08/27 22:36:05.731, 0, 100, 19377, 24564, 55, 281.39
2026/08/27 22:36:05.735, 1, 100, 19158, 24564, 59, 270.32
2026/08/27 22:36:10.765, 0, 100, 19377, 24564, 55, 278.18
2026/08/27 22:36:10.769, 1, 100, 19158, 24564, 58, 267.50
2026/08/27 22:36:15.802, 0, 100, 19377, 24564, 56, 289.51
2026/08/27 22:36:15.806, 1, 100, 19158, 24564, 59, 274.76
2026/08/27 22:36:20.835, 0, 100, 19377, 24564, 58, 289.22
2026/08/27 22:36:20.838, 1, 100, 19158, 24564, 61, 275.22
2026/08/27 22:36:25.866, 0, 100, 19377, 24564, 58, 291.49
2026/08/27 22:36:25.869, 1, 100, 19158, 24564, 61, 276.20
2026/08/27 22:36:30.898, 0, 100, 19377, 24564, 58, 319.02
2026/08/27 22:36:30.901, 1, 100, 19158, 24564, 61, 307.44
2026/08/27 22:36:35.932, 0, 100, 19377, 24564, 58, 317.20
2026/08/27 22:36:35.935, 1, 100, 19158, 24564, 61, 304.33
2026/08/27 22:36:40.964, 0, 100, 19377, 24564, 58, 289.73
2026/08/27 22:36:40.968, 1, 100, 19158, 24564, 61, 275.95
2026/08/27 22:36:45.995, 0, 100, 19377, 24564, 60, 290.57
2026/08/27 22:36:45.998, 1, 100, 19158, 24564, 61, 276.17
2026/08/27 22:36:51.026, 0, 100, 19377, 24564, 57, 299.19
2026/08/27 22:36:51.030, 1, 100, 19158, 24564, 60, 286.32
2026/08/27 22:36:56.059, 0, 100, 19377, 24564, 59, 288.92
2026/08/27 22:36:56.063, 1, 100, 19158, 24564, 62, 273.76
2026/08/27 22:37:01.091, 0, 100, 19377, 24564, 59, 291.48
2026/08/27 22:37:01.095, 1, 100, 19158, 24564, 61, 277.76
2026/08/27 22:37:06.120, 0, 100, 19377, 24564, 58, 289.99
2026/08/27 22:37:06.124, 1, 100, 19158, 24564, 62, 277.08
2026/08/27 22:37:11.150, 0, 100, 19377, 24564, 58, 290.44
2026/08/27 22:37:11.153, 1, 100, 19158, 24564, 62, 275.66
2026/08/27 22:37:16.181, 0, 100, 19377, 24564, 60, 291.22
2026/08/27 22:37:16.184, 1, 100, 19158, 24564, 61, 276.39
2026/08/27 22:37:21.210, 0, 100, 19377, 24564, 56, 285.61
2026/08/27 22:37:21.214, 1, 100, 19158, 24564, 59, 274.71
