# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/27 23:21:13.920, 0, 0, 21277, 24564, 38, 72.77
2026/08/27 23:21:13.922, 1, 0, 21058, 24564, 45, 54.18
2026/08/27 23:21:18.949, 0, 100, 21297, 24564, 45, 265.80
2026/08/27 23:21:18.952, 1, 100, 21078, 24564, 58, 263.67
2026/08/27 23:21:23.979, 0, 100, 21297, 24564, 48, 270.12
2026/08/27 23:21:23.983, 1, 100, 21078, 24564, 56, 260.96
2026/08/27 23:21:29.010, 0, 100, 21297, 24564, 48, 270.35
2026/08/27 23:21:29.014, 1, 100, 21078, 24564, 58, 267.22
2026/08/27 23:21:34.042, 0, 100, 21297, 24564, 49, 276.83
2026/08/27 23:21:34.046, 1, 100, 21078, 24564, 58, 272.85
2026/08/27 23:21:39.077, 0, 100, 21297, 24564, 49, 270.94
2026/08/27 23:21:39.082, 1, 100, 21078, 24564, 57, 265.90
2026/08/27 23:21:44.113, 0, 100, 21297, 24564, 48, 272.23
2026/08/27 23:21:44.117, 1, 100, 21078, 24564, 57, 266.55
2026/08/27 23:21:49.147, 0, 100, 21297, 24564, 48, 277.36
2026/08/27 23:21:49.151, 1, 100, 21078, 24564, 57, 270.34
2026/08/27 23:21:54.181, 0, 100, 21297, 24564, 49, 277.54
2026/08/27 23:21:54.186, 1, 100, 21078, 24564, 57, 270.42
2026/08/27 23:21:59.222, 0, 0, 21297, 24564, 42, 120.09
2026/08/27 23:21:59.228, 1, 0, 21078, 24564, 49, 99.03
2026/08/27 23:22:04.263, 0, 100, 21297, 24564, 49, 277.56
2026/08/27 23:22:04.267, 1, 100, 21078, 24564, 57, 269.60
2026/08/27 23:22:09.300, 0, 100, 21297, 24564, 50, 281.48
2026/08/27 23:22:09.303, 1, 100, 21078, 24564, 57, 272.99
2026/08/27 23:22:14.330, 0, 100, 21297, 24564, 52, 274.29
2026/08/27 23:22:14.334, 1, 100, 21078, 24564, 58, 267.43
2026/08/27 23:22:19.362, 0, 100, 21297, 24564, 50, 273.75
2026/08/27 23:22:19.366, 1, 100, 21078, 24564, 60, 267.17
2026/08/27 23:22:24.397, 0, 100, 21297, 24564, 51, 274.42
2026/08/27 23:22:24.402, 1, 100, 21078, 24564, 58, 268.51
2026/08/27 23:22:29.433, 0, 100, 21297, 24564, 51, 283.34
2026/08/27 23:22:29.437, 1, 100, 21078, 24564, 58, 273.60
2026/08/27 23:22:34.467, 0, 100, 21297, 24564, 53, 276.41
2026/08/27 23:22:34.471, 1, 100, 21078, 24564, 58, 268.12
2026/08/27 23:22:39.501, 0, 100, 21297, 24564, 51, 275.54
2026/08/27 23:22:39.506, 1, 100, 21078, 24564, 58, 269.50
2026/08/27 23:22:44.538, 0, 100, 21297, 24564, 52, 278.09
2026/08/27 23:22:44.541, 1, 100, 21078, 24564, 59, 270.66
2026/08/27 23:22:49.571, 0, 100, 21297, 24564, 52, 275.25
2026/08/27 23:22:49.575, 1, 100, 21078, 24564, 58, 268.79
2026/08/27 23:22:54.606, 0, 100, 21297, 24564, 52, 276.93
2026/08/27 23:22:54.610, 1, 100, 21078, 24564, 58, 270.73
2026/08/27 23:22:59.640, 0, 100, 21297, 24564, 55, 279.72
2026/08/27 23:22:59.643, 1, 100, 21078, 24564, 60, 270.93
2026/08/27 23:23:04.671, 0, 100, 21297, 24564, 56, 289.24
2026/08/27 23:23:04.675, 1, 100, 21078, 24564, 62, 281.85
2026/08/27 23:23:09.707, 0, 100, 21297, 24564, 53, 279.80
2026/08/27 23:23:09.712, 1, 100, 21078, 24564, 59, 271.84
2026/08/27 23:23:14.742, 0, 100, 21297, 24564, 53, 274.90
2026/08/27 23:23:14.746, 1, 100, 21078, 24564, 58, 267.66
2026/08/27 23:23:19.778, 0, 100, 21317, 24564, 55, 284.48
2026/08/27 23:23:19.781, 1, 100, 21098, 24564, 61, 273.32
2026/08/27 23:23:24.809, 0, 100, 21317, 24564, 54, 280.65
2026/08/27 23:23:24.813, 1, 100, 21098, 24564, 59, 271.22
2026/08/27 23:23:29.843, 0, 100, 21317, 24564, 54, 281.08
2026/08/27 23:23:29.847, 1, 100, 21098, 24564, 58, 272.14
2026/08/27 23:23:34.877, 0, 100, 21317, 24564, 56, 282.73
2026/08/27 23:23:34.882, 1, 100, 21098, 24564, 63, 268.84
2026/08/27 23:23:39.912, 0, 100, 21317, 24564, 54, 282.51
2026/08/27 23:23:39.916, 1, 100, 21098, 24564, 59, 273.53
2026/08/27 23:23:44.945, 0, 100, 21317, 24564, 58, 202.18
2026/08/27 23:23:44.949, 1, 100, 21098, 24564, 61, 252.64
2026/08/27 23:23:49.975, 0, 100, 21317, 24564, 56, 286.30
2026/08/27 23:23:49.978, 1, 100, 21098, 24564, 62, 271.13
2026/08/27 23:23:55.005, 0, 100, 21317, 24564, 57, 287.44
2026/08/27 23:23:55.008, 1, 100, 21098, 24564, 61, 272.13
