# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/27 23:24:37.360, 0, 0, 22357, 24564, 45, 79.63
2026/08/27 23:24:37.363, 1, 0, 22138, 24564, 46, 59.61
2026/08/27 23:24:42.388, 0, 100, 22377, 24564, 55, 272.15
2026/08/27 23:24:42.392, 1, 100, 22158, 24564, 55, 262.17
2026/08/27 23:24:47.420, 0, 100, 22377, 24564, 54, 276.93
2026/08/27 23:24:47.423, 1, 100, 22158, 24564, 56, 259.99
2026/08/27 23:24:52.453, 0, 100, 22377, 24564, 53, 274.65
2026/08/27 23:24:52.456, 1, 100, 22158, 24564, 59, 266.43
2026/08/27 23:24:57.482, 0, 100, 22377, 24564, 53, 282.37
2026/08/27 23:24:57.486, 1, 100, 22158, 24564, 59, 272.48
2026/08/27 23:25:02.522, 0, 100, 22377, 24564, 56, 276.99
2026/08/27 23:25:02.526, 1, 100, 22158, 24564, 59, 266.19
2026/08/27 23:25:07.554, 0, 100, 22377, 24564, 54, 277.50
2026/08/27 23:25:07.558, 1, 100, 22158, 24564, 57, 267.73
2026/08/27 23:25:12.589, 0, 100, 22377, 24564, 54, 284.05
2026/08/27 23:25:12.593, 1, 100, 22158, 24564, 58, 272.91
2026/08/27 23:25:17.623, 0, 100, 22377, 24564, 54, 283.68
2026/08/27 23:25:17.628, 1, 100, 22158, 24564, 58, 272.81
2026/08/27 23:25:22.662, 0, 0, 22377, 24564, 48, 88.57
2026/08/27 23:25:22.668, 1, 0, 22158, 24564, 50, 100.75
2026/08/27 23:25:27.696, 0, 100, 22377, 24564, 55, 283.22
2026/08/27 23:25:27.700, 1, 100, 22158, 24564, 58, 271.05
2026/08/27 23:25:32.729, 0, 100, 22377, 24564, 55, 287.48
2026/08/27 23:25:32.732, 1, 100, 22158, 24564, 58, 274.56
2026/08/27 23:25:37.759, 0, 100, 22377, 24564, 57, 279.89
2026/08/27 23:25:37.762, 1, 100, 22158, 24564, 58, 268.68
2026/08/27 23:25:42.792, 0, 100, 22377, 24564, 55, 280.28
2026/08/27 23:25:42.796, 1, 100, 22158, 24564, 59, 267.18
2026/08/27 23:25:47.826, 0, 100, 22377, 24564, 56, 279.13
2026/08/27 23:25:47.831, 1, 100, 22158, 24564, 59, 268.25
2026/08/27 23:25:52.861, 0, 100, 22377, 24564, 56, 288.47
2026/08/27 23:25:52.865, 1, 100, 22158, 24564, 59, 276.48
2026/08/27 23:25:57.893, 0, 100, 22377, 24564, 57, 281.98
2026/08/27 23:25:57.897, 1, 100, 22158, 24564, 59, 270.68
2026/08/27 23:26:02.927, 0, 100, 22377, 24564, 56, 278.08
2026/08/27 23:26:02.932, 1, 100, 22158, 24564, 59, 268.55
2026/08/27 23:26:07.963, 0, 100, 22377, 24564, 57, 282.58
2026/08/27 23:26:07.966, 1, 100, 22158, 24564, 59, 271.63
2026/08/27 23:26:12.998, 0, 100, 22377, 24564, 56, 277.34
2026/08/27 23:26:13.002, 1, 100, 22158, 24564, 59, 269.08
2026/08/27 23:26:18.033, 0, 100, 22377, 24564, 56, 279.69
2026/08/27 23:26:18.038, 1, 100, 22158, 24564, 59, 270.09
2026/08/27 23:26:23.066, 0, 100, 22377, 24564, 59, 284.30
2026/08/27 23:26:23.070, 1, 100, 22158, 24564, 62, 273.07
2026/08/27 23:26:28.097, 0, 100, 22377, 24564, 60, 293.05
2026/08/27 23:26:28.101, 1, 100, 22158, 24564, 63, 283.33
2026/08/27 23:26:33.132, 0, 100, 22377, 24564, 57, 281.99
2026/08/27 23:26:33.137, 1, 100, 22158, 24564, 59, 272.50
2026/08/27 23:26:38.168, 0, 100, 22377, 24564, 57, 277.61
2026/08/27 23:26:38.172, 1, 100, 22158, 24564, 59, 267.83
2026/08/27 23:26:43.205, 0, 100, 22377, 24564, 57, 287.88
2026/08/27 23:26:43.209, 1, 100, 22158, 24564, 59, 277.61
2026/08/27 23:26:48.241, 0, 100, 22377, 24564, 57, 281.17
2026/08/27 23:26:48.245, 1, 100, 22158, 24564, 59, 270.83
2026/08/27 23:26:53.275, 0, 100, 22377, 24564, 57, 294.44
2026/08/27 23:26:53.279, 1, 100, 22158, 24564, 60, 283.28
2026/08/27 23:26:58.310, 0, 100, 22377, 24564, 57, 288.86
2026/08/27 23:26:58.315, 1, 100, 22158, 24564, 59, 276.08
2026/08/27 23:27:03.346, 0, 100, 22377, 24564, 57, 292.40
2026/08/27 23:27:03.350, 1, 100, 22158, 24564, 59, 279.90
2026/08/27 23:27:08.380, 0, 100, 22377, 24564, 57, 215.38
2026/08/27 23:27:08.385, 1, 100, 22158, 24564, 59, 185.78
2026/08/27 23:27:13.417, 0, 100, 23037, 24564, 60, 289.27
2026/08/27 23:27:13.422, 1, 100, 22818, 24564, 64, 273.98
2026/08/27 23:27:18.453, 0, 100, 23037, 24564, 57, 288.91
2026/08/27 23:27:18.457, 1, 100, 22818, 24564, 59, 273.90
