# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/28 08:11:09.261, 0, 0, 23697, 24564, 39, 73.04
2026/08/28 08:11:09.264, 1, 0, 23478, 24564, 46, 54.27
2026/08/28 08:11:14.288, 0, 100, 23717, 24564, 49, 268.35
2026/08/28 08:11:14.292, 1, 100, 23498, 24564, 58, 264.33
2026/08/28 08:11:19.319, 0, 100, 23717, 24564, 48, 269.14
2026/08/28 08:11:19.323, 1, 100, 23498, 24564, 57, 262.51
2026/08/28 08:11:24.353, 0, 100, 23717, 24564, 48, 269.72
2026/08/28 08:11:24.356, 1, 100, 23498, 24564, 57, 268.39
2026/08/28 08:11:29.385, 0, 100, 23717, 24564, 48, 278.23
2026/08/28 08:11:29.390, 1, 100, 23498, 24564, 57, 273.73
2026/08/28 08:11:34.420, 0, 100, 23717, 24564, 49, 270.84
2026/08/28 08:11:34.424, 1, 100, 23498, 24564, 58, 267.46
2026/08/28 08:11:39.456, 0, 100, 23717, 24564, 49, 272.17
2026/08/28 08:11:39.460, 1, 100, 23498, 24564, 58, 267.44
2026/08/28 08:11:44.492, 0, 100, 23717, 24564, 50, 278.20
2026/08/28 08:11:44.496, 1, 100, 23498, 24564, 58, 272.83
2026/08/28 08:11:49.528, 0, 100, 23717, 24564, 50, 278.33
2026/08/28 08:11:49.533, 1, 100, 23498, 24564, 58, 273.05
2026/08/28 08:11:54.580, 0, 0, 23717, 24564, 43, 121.46
2026/08/28 08:11:54.586, 1, 0, 23498, 24564, 50, 96.46
2026/08/28 08:11:59.619, 0, 100, 23717, 24564, 50, 278.85
2026/08/28 08:11:59.623, 1, 100, 23498, 24564, 58, 272.19
2026/08/28 08:12:04.654, 0, 100, 23717, 24564, 51, 281.91
2026/08/28 08:12:04.658, 1, 100, 23498, 24564, 60, 274.51
2026/08/28 08:12:09.687, 0, 100, 23717, 24564, 51, 276.12
2026/08/28 08:12:09.691, 1, 100, 23498, 24564, 59, 269.16
2026/08/28 08:12:14.720, 0, 100, 23717, 24564, 51, 276.52
2026/08/28 08:12:14.725, 1, 100, 23498, 24564, 58, 268.95
2026/08/28 08:12:19.756, 0, 100, 23717, 24564, 51, 275.30
2026/08/28 08:12:19.760, 1, 100, 23498, 24564, 58, 267.34
2026/08/28 08:12:24.791, 0, 100, 23717, 24564, 52, 283.02
2026/08/28 08:12:24.795, 1, 100, 23498, 24564, 59, 275.21
2026/08/28 08:12:29.825, 0, 100, 23717, 24564, 53, 276.97
2026/08/28 08:12:29.829, 1, 100, 23498, 24564, 59, 269.87
2026/08/28 08:12:34.859, 0, 100, 23717, 24564, 52, 277.21
2026/08/28 08:12:34.864, 1, 100, 23498, 24564, 59, 270.41
2026/08/28 08:12:39.894, 0, 100, 23717, 24564, 53, 278.26
2026/08/28 08:12:39.899, 1, 100, 23498, 24564, 59, 272.43
2026/08/28 08:12:44.929, 0, 100, 23717, 24564, 53, 274.52
2026/08/28 08:12:44.933, 1, 100, 23498, 24564, 59, 268.86
2026/08/28 08:12:49.963, 0, 100, 23717, 24564, 53, 277.27
2026/08/28 08:12:49.967, 1, 100, 23498, 24564, 58, 271.94
2026/08/28 08:12:54.996, 0, 100, 23717, 24564, 54, 279.04
2026/08/28 08:12:54.999, 1, 100, 23498, 24564, 59, 272.11
2026/08/28 08:13:00.027, 0, 100, 23717, 24564, 54, 289.47
2026/08/28 08:13:00.031, 1, 100, 23498, 24564, 60, 282.83
2026/08/28 08:13:05.061, 0, 100, 23717, 24564, 54, 279.01
2026/08/28 08:13:05.066, 1, 100, 23498, 24564, 59, 273.51
2026/08/28 08:13:10.096, 0, 100, 23717, 24564, 54, 276.05
2026/08/28 08:13:10.101, 1, 100, 23498, 24564, 59, 269.21
2026/08/28 08:13:15.134, 0, 100, 23717, 24564, 54, 286.54
2026/08/28 08:13:15.138, 1, 100, 23498, 24564, 59, 275.52
2026/08/28 08:13:20.172, 0, 100, 23717, 24564, 54, 276.85
2026/08/28 08:13:20.176, 1, 100, 23498, 24564, 59, 269.45
2026/08/28 08:13:25.209, 0, 100, 23717, 24564, 55, 290.42
2026/08/28 08:13:25.214, 1, 100, 23498, 24564, 59, 281.65
2026/08/28 08:13:30.246, 0, 100, 23717, 24564, 55, 287.88
2026/08/28 08:13:30.250, 1, 100, 23498, 24564, 59, 278.83
2026/08/28 08:13:35.282, 0, 100, 23717, 24564, 55, 288.39
2026/08/28 08:13:35.287, 1, 100, 23498, 24564, 59, 279.70
2026/08/28 08:13:40.319, 0, 100, 23717, 24564, 55, 268.26
2026/08/28 08:13:40.323, 1, 100, 23498, 24564, 59, 245.13
2026/08/28 08:13:45.354, 0, 100, 23717, 24564, 57, 287.70
2026/08/28 08:13:45.358, 1, 100, 23498, 24564, 59, 277.56
