# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/28 08:14:31.477, 0, 0, 20657, 24564, 45, 74.13
2026/08/28 08:14:31.479, 1, 0, 20438, 24564, 46, 54.27
2026/08/28 08:14:36.506, 0, 100, 20677, 24564, 55, 272.84
2026/08/28 08:14:36.509, 1, 100, 20458, 24564, 57, 263.18
2026/08/28 08:14:41.534, 0, 100, 20677, 24564, 55, 274.67
2026/08/28 08:14:41.538, 1, 100, 20458, 24564, 57, 261.13
2026/08/28 08:14:46.564, 0, 100, 20677, 24564, 53, 273.70
2026/08/28 08:14:46.567, 1, 100, 20458, 24564, 56, 265.80
2026/08/28 08:14:51.594, 0, 100, 20677, 24564, 54, 282.53
2026/08/28 08:14:51.599, 1, 100, 20458, 24564, 57, 272.23
2026/08/28 08:14:56.630, 0, 100, 20677, 24564, 54, 276.27
2026/08/28 08:14:56.634, 1, 100, 20458, 24564, 58, 267.60
2026/08/28 08:15:01.664, 0, 100, 20677, 24564, 56, 275.63
2026/08/28 08:15:01.668, 1, 100, 20458, 24564, 57, 268.12
2026/08/28 08:15:06.699, 0, 100, 20677, 24564, 54, 282.43
2026/08/28 08:15:06.703, 1, 100, 20458, 24564, 58, 272.62
2026/08/28 08:15:11.738, 0, 100, 20677, 24564, 55, 283.07
2026/08/28 08:15:11.742, 1, 100, 20458, 24564, 58, 272.98
2026/08/28 08:15:16.788, 0, 0, 20677, 24564, 48, 87.94
2026/08/28 08:15:16.794, 1, 0, 20458, 24564, 49, 67.42
2026/08/28 08:15:21.834, 0, 100, 20677, 24564, 55, 282.76
2026/08/28 08:15:21.838, 1, 100, 20458, 24564, 58, 271.71
2026/08/28 08:15:26.874, 0, 100, 20677, 24564, 55, 286.25
2026/08/28 08:15:26.877, 1, 100, 20458, 24564, 58, 275.46
2026/08/28 08:15:31.911, 0, 100, 20677, 24564, 57, 279.14
2026/08/28 08:15:31.915, 1, 100, 20458, 24564, 62, 269.41
2026/08/28 08:15:36.950, 0, 100, 20677, 24564, 55, 279.44
2026/08/28 08:15:36.955, 1, 100, 20458, 24564, 59, 269.26
2026/08/28 08:15:41.990, 0, 100, 20677, 24564, 56, 278.07
2026/08/28 08:15:41.994, 1, 100, 20458, 24564, 59, 268.71
2026/08/28 08:15:47.024, 0, 100, 20677, 24564, 56, 288.47
2026/08/28 08:15:47.027, 1, 100, 20458, 24564, 59, 278.01
2026/08/28 08:15:52.063, 0, 100, 20677, 24564, 58, 281.72
2026/08/28 08:15:52.076, 1, 100, 20458, 24564, 62, 272.04
2026/08/28 08:15:57.107, 0, 100, 20677, 24564, 58, 279.40
2026/08/28 08:15:57.111, 1, 100, 20458, 24564, 61, 270.19
2026/08/28 08:16:02.147, 0, 100, 20677, 24564, 57, 282.13
2026/08/28 08:16:02.151, 1, 100, 20458, 24564, 60, 272.92
2026/08/28 08:16:07.179, 0, 100, 20677, 24564, 56, 279.33
2026/08/28 08:16:07.185, 1, 100, 20458, 24564, 59, 270.19
2026/08/28 08:16:12.220, 0, 100, 20677, 24564, 56, 279.66
2026/08/28 08:16:12.224, 1, 100, 20458, 24564, 59, 271.17
2026/08/28 08:16:17.261, 0, 100, 20677, 24564, 60, 284.16
2026/08/28 08:16:17.266, 1, 100, 20458, 24564, 63, 274.33
2026/08/28 08:16:22.302, 0, 100, 20677, 24564, 58, 293.41
2026/08/28 08:16:22.305, 1, 100, 20458, 24564, 62, 283.33
2026/08/28 08:16:27.340, 0, 100, 20677, 24564, 57, 282.33
2026/08/28 08:16:27.345, 1, 100, 20458, 24564, 60, 272.88
2026/08/28 08:16:32.375, 0, 100, 20677, 24564, 57, 279.18
2026/08/28 08:16:32.379, 1, 100, 20458, 24564, 59, 269.77
2026/08/28 08:16:37.408, 0, 100, 20837, 24564, 59, 287.11
2026/08/28 08:16:37.416, 1, 100, 20618, 24564, 63, 273.89
2026/08/28 08:16:42.444, 0, 100, 21497, 24564, 63, 286.29
2026/08/28 08:16:42.447, 1, 100, 21278, 24564, 66, 271.86
2026/08/28 08:16:47.475, 0, 100, 21497, 24564, 58, 290.62
2026/08/28 08:16:47.479, 1, 100, 21278, 24564, 60, 280.65
2026/08/28 08:16:52.508, 0, 100, 21497, 24564, 60, 288.14
2026/08/28 08:16:52.512, 1, 100, 21278, 24564, 64, 273.24
2026/08/28 08:16:57.540, 0, 100, 21497, 24564, 59, 289.20
2026/08/28 08:16:57.544, 1, 100, 21278, 24564, 64, 274.42
2026/08/28 08:17:02.574, 0, 100, 21497, 24564, 59, 252.58
2026/08/28 08:17:02.577, 1, 100, 21278, 24564, 63, 236.77
2026/08/28 08:17:07.604, 0, 100, 21497, 24564, 58, 286.32
2026/08/28 08:17:07.608, 1, 100, 21278, 24564, 62, 271.14
2026/08/28 08:17:12.636, 0, 100, 21497, 24564, 60, 289.60
2026/08/28 08:17:12.639, 1, 100, 21278, 24564, 61, 272.93
