# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/28 08:47:20.464, 0, 0, 22257, 24564, 39, 72.99
2026/08/28 08:47:20.467, 1, 0, 22038, 24564, 48, 54.22
2026/08/28 08:47:25.495, 0, 100, 22277, 24564, 49, 267.54
2026/08/28 08:47:25.498, 1, 100, 22058, 24564, 61, 266.76
2026/08/28 08:47:30.526, 0, 100, 22277, 24564, 47, 268.27
2026/08/28 08:47:30.530, 1, 100, 22058, 24564, 60, 264.53
2026/08/28 08:47:35.557, 0, 100, 22277, 24564, 47, 268.66
2026/08/28 08:47:35.560, 1, 100, 22058, 24564, 59, 269.49
2026/08/28 08:47:40.588, 0, 100, 22277, 24564, 48, 276.74
2026/08/28 08:47:40.593, 1, 100, 22058, 24564, 59, 275.39
2026/08/28 08:47:45.624, 0, 100, 22277, 24564, 48, 270.82
2026/08/28 08:47:45.628, 1, 100, 22058, 24564, 59, 269.02
2026/08/28 08:47:50.656, 0, 100, 22277, 24564, 49, 270.69
2026/08/28 08:47:50.660, 1, 100, 22058, 24564, 59, 268.09
2026/08/28 08:47:55.690, 0, 100, 22277, 24564, 50, 278.20
2026/08/28 08:47:55.695, 1, 100, 22058, 24564, 61, 273.65
2026/08/28 08:48:00.726, 0, 100, 22277, 24564, 50, 278.35
2026/08/28 08:48:00.731, 1, 100, 22058, 24564, 59, 273.52
2026/08/28 08:48:05.769, 0, 0, 22277, 24564, 43, 87.25
2026/08/28 08:48:05.776, 1, 0, 22058, 24564, 49, 67.77
2026/08/28 08:48:10.807, 0, 100, 22277, 24564, 50, 277.89
2026/08/28 08:48:10.812, 1, 100, 22058, 24564, 58, 272.43
2026/08/28 08:48:15.842, 0, 100, 22277, 24564, 52, 281.91
2026/08/28 08:48:15.845, 1, 100, 22058, 24564, 58, 275.69
2026/08/28 08:48:20.872, 0, 100, 22277, 24564, 51, 276.57
2026/08/28 08:48:20.876, 1, 100, 22058, 24564, 61, 270.37
2026/08/28 08:48:25.905, 0, 100, 22277, 24564, 51, 275.76
2026/08/28 08:48:25.910, 1, 100, 22058, 24564, 58, 271.81
2026/08/28 08:48:30.941, 0, 100, 22277, 24564, 51, 274.48
2026/08/28 08:48:30.945, 1, 100, 22058, 24564, 58, 269.83
2026/08/28 08:48:35.976, 0, 100, 22277, 24564, 52, 282.83
2026/08/28 08:48:35.979, 1, 100, 22058, 24564, 58, 277.56
2026/08/28 08:48:41.008, 0, 100, 22277, 24564, 53, 276.61
2026/08/28 08:48:41.012, 1, 100, 22058, 24564, 60, 271.43
2026/08/28 08:48:46.042, 0, 100, 22277, 24564, 53, 275.88
2026/08/28 08:48:46.046, 1, 100, 22058, 24564, 61, 271.09
2026/08/28 08:48:51.075, 0, 100, 22277, 24564, 53, 277.26
2026/08/28 08:48:51.078, 1, 100, 22058, 24564, 59, 271.80
2026/08/28 08:48:56.107, 0, 100, 22277, 24564, 52, 274.56
2026/08/28 08:48:56.111, 1, 100, 22058, 24564, 58, 269.57
2026/08/28 08:49:01.143, 0, 100, 22277, 24564, 53, 277.21
2026/08/28 08:49:01.147, 1, 100, 22058, 24564, 58, 271.59
2026/08/28 08:49:06.183, 0, 100, 22277, 24564, 53, 278.83
2026/08/28 08:49:06.186, 1, 100, 22058, 24564, 59, 271.77
2026/08/28 08:49:11.214, 0, 100, 22277, 24564, 54, 289.44
2026/08/28 08:49:11.218, 1, 100, 22058, 24564, 59, 281.36
2026/08/28 08:49:16.249, 0, 100, 22277, 24564, 54, 279.48
2026/08/28 08:49:16.253, 1, 100, 22058, 24564, 58, 271.90
2026/08/28 08:49:21.283, 0, 100, 22277, 24564, 54, 273.48
2026/08/28 08:49:21.288, 1, 100, 22058, 24564, 58, 266.69
2026/08/28 08:49:26.317, 0, 100, 22277, 24564, 54, 283.40
2026/08/28 08:49:26.322, 1, 100, 22058, 24564, 58, 274.17
2026/08/28 08:49:31.351, 0, 100, 22277, 24564, 54, 275.71
2026/08/28 08:49:31.355, 1, 100, 22058, 24564, 58, 267.75
2026/08/28 08:49:36.385, 0, 100, 22277, 24564, 54, 289.54
2026/08/28 08:49:36.390, 1, 100, 22058, 24564, 58, 280.55
2026/08/28 08:49:41.420, 0, 100, 22277, 24564, 55, 285.69
2026/08/28 08:49:41.424, 1, 100, 22058, 24564, 59, 277.51
2026/08/28 08:49:46.457, 0, 100, 22277, 24564, 55, 288.17
2026/08/28 08:49:46.461, 1, 100, 22058, 24564, 59, 279.72
2026/08/28 08:49:51.491, 0, 100, 22277, 24564, 55, 235.92
2026/08/28 08:49:51.496, 1, 100, 22058, 24564, 59, 230.27
2026/08/28 08:49:56.527, 0, 100, 22277, 24564, 59, 285.37
2026/08/28 08:49:56.530, 1, 100, 22058, 24564, 61, 273.22
2026/08/28 08:50:01.558, 0, 100, 22277, 24564, 55, 287.12
2026/08/28 08:50:01.563, 1, 100, 22058, 24564, 59, 278.87
