# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/28 09:21:37.869, 0, 0, 20557, 24564, 38, 73.43
2026/08/28 09:21:37.871, 1, 0, 20338, 24564, 48, 54.35
2026/08/28 09:21:42.897, 0, 100, 20577, 24564, 48, 269.73
2026/08/28 09:21:42.900, 1, 100, 20358, 24564, 61, 267.75
2026/08/28 09:21:47.932, 0, 100, 20577, 24564, 47, 268.10
2026/08/28 09:21:47.936, 1, 100, 20358, 24564, 60, 264.86
2026/08/28 09:21:52.965, 0, 100, 20577, 24564, 49, 270.93
2026/08/28 09:21:52.967, 1, 100, 20358, 24564, 61, 271.00
2026/08/28 09:21:57.994, 0, 100, 20577, 24564, 49, 277.63
2026/08/28 09:21:57.999, 1, 100, 20358, 24564, 61, 276.96
2026/08/28 09:22:03.027, 0, 100, 20577, 24564, 48, 270.87
2026/08/28 09:22:03.031, 1, 100, 20358, 24564, 60, 269.16
2026/08/28 09:22:08.061, 0, 100, 20577, 24564, 48, 271.65
2026/08/28 09:22:08.065, 1, 100, 20358, 24564, 58, 269.43
2026/08/28 09:22:13.096, 0, 100, 20577, 24564, 49, 278.00
2026/08/28 09:22:13.100, 1, 100, 20358, 24564, 58, 273.78
2026/08/28 09:22:18.131, 0, 100, 20577, 24564, 49, 277.99
2026/08/28 09:22:18.136, 1, 100, 20358, 24564, 58, 273.36
2026/08/28 09:22:23.174, 0, 0, 20577, 24564, 43, 124.43
2026/08/28 09:22:23.180, 1, 0, 20358, 24564, 50, 107.83
2026/08/28 09:22:28.210, 0, 100, 20577, 24564, 50, 277.94
2026/08/28 09:22:28.215, 1, 100, 20358, 24564, 57, 270.95
2026/08/28 09:22:33.245, 0, 100, 20577, 24564, 50, 280.66
2026/08/28 09:22:33.248, 1, 100, 20358, 24564, 58, 273.95
2026/08/28 09:22:38.274, 0, 100, 20577, 24564, 51, 275.13
2026/08/28 09:22:38.278, 1, 100, 20358, 24564, 58, 268.71
2026/08/28 09:22:43.305, 0, 100, 20577, 24564, 52, 274.83
2026/08/28 09:22:43.310, 1, 100, 20358, 24564, 59, 267.75
2026/08/28 09:22:48.339, 0, 100, 20577, 24564, 51, 276.78
2026/08/28 09:22:48.343, 1, 100, 20358, 24564, 58, 269.35
2026/08/28 09:22:53.374, 0, 100, 20577, 24564, 52, 281.30
2026/08/28 09:22:53.378, 1, 100, 20358, 24564, 58, 274.40
2026/08/28 09:22:58.412, 0, 100, 20577, 24564, 52, 276.78
2026/08/28 09:22:58.415, 1, 100, 20358, 24564, 58, 269.14
2026/08/28 09:23:03.444, 0, 100, 20577, 24564, 52, 276.51
2026/08/28 09:23:03.449, 1, 100, 20358, 24564, 58, 269.38
2026/08/28 09:23:08.479, 0, 100, 20577, 24564, 53, 278.89
2026/08/28 09:23:08.482, 1, 100, 20358, 24564, 58, 271.81
2026/08/28 09:23:13.512, 0, 100, 20577, 24564, 52, 275.18
2026/08/28 09:23:13.516, 1, 100, 20358, 24564, 58, 268.93
2026/08/28 09:23:18.546, 0, 100, 20577, 24564, 53, 276.75
2026/08/28 09:23:18.550, 1, 100, 20358, 24564, 58, 270.96
2026/08/28 09:23:23.579, 0, 100, 20577, 24564, 56, 281.05
2026/08/28 09:23:23.582, 1, 100, 20358, 24564, 61, 272.56
2026/08/28 09:23:28.609, 0, 100, 20577, 24564, 56, 290.61
2026/08/28 09:23:28.613, 1, 100, 20358, 24564, 61, 282.45
2026/08/28 09:23:33.642, 0, 100, 20577, 24564, 53, 279.30
2026/08/28 09:23:33.646, 1, 100, 20358, 24564, 58, 271.24
2026/08/28 09:23:38.676, 0, 100, 20577, 24564, 54, 278.23
2026/08/28 09:23:38.680, 1, 100, 20358, 24564, 58, 270.60
2026/08/28 09:23:43.708, 0, 100, 20597, 24564, 57, 284.95
2026/08/28 09:23:43.712, 1, 100, 20378, 24564, 59, 273.82
2026/08/28 09:23:48.737, 0, 100, 20597, 24564, 58, 286.15
2026/08/28 09:23:48.740, 1, 100, 20378, 24564, 60, 272.82
2026/08/28 09:23:53.767, 0, 100, 20597, 24564, 55, 287.86
2026/08/28 09:23:53.771, 1, 100, 20378, 24564, 59, 278.77
2026/08/28 09:23:58.800, 0, 100, 20597, 24564, 58, 283.40
2026/08/28 09:23:58.804, 1, 100, 20378, 24564, 61, 269.38
2026/08/28 09:24:03.841, 0, 100, 20597, 24564, 58, 286.22
2026/08/28 09:24:03.845, 1, 100, 20378, 24564, 62, 272.09
2026/08/28 09:24:08.874, 0, 100, 20597, 24564, 58, 282.33
2026/08/28 09:24:08.878, 1, 100, 20378, 24564, 63, 268.02
2026/08/28 09:24:13.903, 0, 100, 20597, 24564, 60, 286.17
2026/08/28 09:24:13.906, 1, 100, 20378, 24564, 62, 271.26
2026/08/28 09:24:18.931, 0, 100, 20597, 24564, 58, 288.44
2026/08/28 09:24:18.934, 1, 100, 20378, 24564, 61, 274.00
