# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/27 19:07:36.155, 0, 0, 237, 24564, 39, 34.64
2026/08/27 19:07:36.159, 1, 0, 18, 24564, 44, 18.44
2026/08/27 19:07:40.993, 0, 0, 237, 24564, 39, 34.15
2026/08/27 19:07:40.996, 1, 0, 18, 24564, 44, 18.48
2026/08/27 19:07:41.186, 0, 0, 237, 24564, 39, 34.15
2026/08/27 19:07:41.190, 1, 0, 18, 24564, 44, 18.48
2026/08/27 19:07:46.022, 0, 0, 237, 24564, 39, 34.53
2026/08/27 19:07:46.026, 1, 0, 18, 24564, 44, 18.50
2026/08/27 19:07:46.217, 0, 0, 237, 24564, 39, 34.53
2026/08/27 19:07:46.220, 1, 0, 18, 24564, 44, 18.50
2026/08/27 19:07:51.055, 0, 46, 12251, 24564, 43, 87.86
2026/08/27 19:07:51.060, 1, 68, 10156, 24564, 46, 73.40
2026/08/27 19:07:51.254, 0, 61, 12253, 24564, 45, 105.57
2026/08/27 19:07:51.259, 1, 60, 12032, 24564, 48, 83.17
2026/08/27 19:07:56.089, 0, 0, 10491, 24564, 41, 69.36
2026/08/27 19:07:56.092, 1, 0, 10272, 24564, 46, 56.40
2026/08/27 19:07:56.290, 0, 0, 10491, 24564, 41, 69.36
2026/08/27 19:07:56.293, 1, 0, 10272, 24564, 46, 56.40
2026/08/27 19:08:01.117, 0, 0, 10491, 24564, 41, 68.82
2026/08/27 19:08:01.120, 1, 0, 10272, 24564, 46, 54.08
2026/08/27 19:08:01.319, 0, 0, 10491, 24564, 41, 68.82
2026/08/27 19:08:01.322, 1, 0, 10272, 24564, 46, 54.08
2026/08/27 19:08:06.144, 0, 60, 10707, 24564, 45, 137.28
2026/08/27 19:08:06.147, 1, 7, 10488, 24564, 51, 132.89
2026/08/27 19:08:06.347, 0, 0, 10707, 24564, 44, 140.17
2026/08/27 19:08:06.350, 1, 0, 10488, 24564, 48, 128.56
2026/08/27 19:08:11.173, 0, 0, 10491, 24564, 43, 83.93
2026/08/27 19:08:11.176, 1, 0, 10272, 24564, 47, 69.93
2026/08/27 19:08:11.376, 0, 0, 10491, 24564, 43, 83.96
2026/08/27 19:08:11.379, 1, 0, 10272, 24564, 47, 69.87
2026/08/27 19:08:16.203, 0, 0, 11385, 24564, 42, 69.41
2026/08/27 19:08:16.206, 1, 0, 11166, 24564, 47, 54.24
2026/08/27 19:08:16.404, 0, 0, 11385, 24564, 42, 69.44
2026/08/27 19:08:16.407, 1, 0, 11166, 24564, 47, 54.33
2026/08/27 19:08:21.233, 0, 0, 11385, 24564, 42, 75.63
2026/08/27 19:08:21.236, 1, 0, 11166, 24564, 47, 61.34
2026/08/27 19:08:21.432, 0, 0, 11385, 24564, 42, 75.63
2026/08/27 19:08:21.435, 1, 0, 11166, 24564, 47, 61.34
2026/08/27 19:08:26.264, 0, 100, 11785, 24564, 50, 255.46
2026/08/27 19:08:26.269, 1, 100, 11566, 24564, 58, 247.70
2026/08/27 19:08:26.461, 0, 100, 11785, 24564, 49, 252.85
2026/08/27 19:08:26.466, 1, 100, 11566, 24564, 57, 240.01
2026/08/27 19:08:31.295, 0, 85, 22103, 24564, 48, 227.53
2026/08/27 19:08:31.299, 1, 100, 21884, 24564, 57, 219.70
2026/08/27 19:08:31.495, 0, 96, 22127, 24564, 48, 223.59
2026/08/27 19:08:31.499, 1, 100, 21908, 24564, 59, 214.60
2026/08/27 19:08:36.326, 0, 61, 23343, 24564, 47, 141.60
2026/08/27 19:08:36.330, 1, 92, 23124, 24564, 56, 135.38
2026/08/27 19:08:36.527, 0, 87, 23427, 24564, 47, 153.99
2026/08/27 19:08:36.531, 1, 75, 23208, 24564, 55, 145.21
2026/08/27 19:08:41.355, 0, 0, 24079, 24564, 41, 84.51
2026/08/27 19:08:41.359, 1, 100, 23872, 24564, 50, 85.92
2026/08/27 19:08:41.560, 0, 0, 24079, 24564, 41, 84.51
2026/08/27 19:08:41.563, 1, 100, 23872, 24564, 50, 85.93
2026/08/27 19:08:46.384, 0, 0, 240, 24564, 41, 90.06
2026/08/27 19:08:46.388, 1, 100, 23872, 24564, 49, 85.50
2026/08/27 19:08:46.590, 0, 0, 240, 24564, 41, 90.06
2026/08/27 19:08:46.593, 1, 100, 23872, 24564, 49, 85.53
2026/08/27 19:08:51.413, 0, 0, 240, 24564, 39, 40.10
2026/08/27 19:08:51.417, 1, 100, 23872, 24564, 49, 84.92
2026/08/27 19:08:51.618, 0, 0, 240, 24564, 39, 40.10
2026/08/27 19:08:51.622, 1, 100, 23872, 24564, 48, 85.01
2026/08/27 19:08:56.451, 0, 0, 237, 24564, 39, 39.92
2026/08/27 19:08:56.456, 1, 0, 18, 24564, 46, 65.44
2026/08/27 19:08:56.655, 0, 0, 237, 24564, 39, 39.93
2026/08/27 19:08:56.660, 1, 0, 18, 24564, 46, 65.44
2026/08/27 19:09:01.494, 0, 0, 237, 24564, 39, 39.30
2026/08/27 19:09:01.499, 1, 0, 18, 24564, 44, 18.94
2026/08/27 19:09:01.703, 0, 0, 237, 24564, 39, 39.30
2026/08/27 19:09:01.707, 1, 0, 18, 24564, 44, 18.94
2026/08/27 19:09:06.536, 0, 0, 237, 24564, 38, 39.15
2026/08/27 19:09:06.541, 1, 0, 18, 24564, 43, 18.82
2026/08/27 19:09:06.743, 0, 0, 237, 24564, 38, 39.15
2026/08/27 19:09:06.748, 1, 0, 18, 24564, 43, 18.82
2026/08/27 19:09:11.579, 0, 0, 237, 24564, 38, 39.41
2026/08/27 19:09:11.584, 1, 0, 18, 24564, 43, 18.64
2026/08/27 19:09:11.787, 0, 0, 237, 24564, 38, 39.41
2026/08/27 19:09:11.791, 1, 0, 18, 24564, 43, 18.64
2026/08/27 19:09:16.626, 0, 0, 237, 24564, 38, 39.00
2026/08/27 19:09:16.630, 1, 0, 18, 24564, 42, 18.91
2026/08/27 19:09:16.829, 0, 0, 237, 24564, 38, 39.00
2026/08/27 19:09:16.834, 1, 0, 18, 24564, 42, 18.91
2026/08/27 19:09:21.666, 0, 0, 237, 24564, 37, 39.15
2026/08/27 19:09:21.670, 1, 0, 18, 24564, 41, 18.83
2026/08/27 19:09:21.870, 0, 0, 237, 24564, 37, 39.15
2026/08/27 19:09:21.875, 1, 0, 18, 24564, 41, 18.83
2026/08/27 19:09:26.706, 0, 0, 237, 24564, 37, 36.52
2026/08/27 19:09:26.710, 1, 0, 18, 24564, 41, 18.32
2026/08/27 19:09:26.916, 0, 0, 237, 24564, 37, 36.52
2026/08/27 19:09:26.922, 1, 0, 18, 24564, 41, 18.32
2026/08/27 19:09:31.757, 0, 0, 237, 24564, 38, 34.29
2026/08/27 19:09:31.762, 1, 0, 18, 24564, 41, 18.25
2026/08/27 19:09:31.957, 0, 0, 237, 24564, 38, 34.47
2026/08/27 19:09:31.962, 1, 0, 18, 24564, 41, 18.25
2026/08/27 19:09:36.799, 0, 0, 237, 24564, 38, 34.55
2026/08/27 19:09:36.804, 1, 0, 18, 24564, 41, 18.28
2026/08/27 19:09:37.005, 0, 0, 237, 24564, 38, 34.87
2026/08/27 19:09:37.011, 1, 0, 18, 24564, 41, 18.21
2026/08/27 19:09:41.842, 0, 0, 237, 24564, 38, 34.87
2026/08/27 19:09:41.847, 1, 0, 18, 24564, 41, 18.32
2026/08/27 19:09:42.053, 0, 0, 237, 24564, 38, 34.88
2026/08/27 19:09:42.058, 1, 0, 18, 24564, 41, 18.26
2026/08/27 19:09:46.888, 0, 0, 237, 24564, 38, 34.93
2026/08/27 19:09:46.893, 1, 0, 18, 24564, 41, 18.39
2026/08/27 19:09:47.098, 0, 0, 237, 24564, 38, 35.04
2026/08/27 19:09:47.103, 1, 0, 18, 24564, 41, 18.34
