tag,attempt,temp_c,ready_s,pool_tokens,vram_before_mib,dur_s
A_00,1,38/47,35,87200,255,198
A_01,1,44/45,35,87200,255,199
J_01,1,46/46,35,81424,255,201
A_02,1,47/46,35,87200,255,198
J_02,1,47/46,35,81424,255,201
A_03,1,47/46,35,87200,255,198
J_03,1,47/46,35,81424,255,202
A_04,1,47/46,35,87200,255,198
J_04,1,47/46,35,81424,255,201
A_05,1,47/46,35,87200,255,198
J_05,1,47/46,35,81424,255,202
A_06,1,47/46,35,87200,255,198
J_06,1,47/46,35,81424,255,202
A_07,1,47/46,35,87200,255,198
J_07,1,47/46,35,81424,255,202
A_08,1,46/46,45,87200,255,208
J_08,1,47/47,35,81424,255,202
A_09,1,47/46,35,87200,255,198
J_09,1,47/46,35,81424,255,202
A_10,1,47/46,35,87200,255,198
J_10,2,41/47,35,81424,255,201
A_11,1,46/46,36,87200,255,199
J_11,1,47/46,35,81424,255,201
A_12,1,47/46,35,87200,255,199
J_12,1,47/47,35,81424,255,201
A_13,1,47/47,36,87200,255,199
J_13,1,47/47,35,81424,255,201
A_14,1,47/46,35,87200,255,198
J_14,1,47/46,35,81424,255,202
