# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/29 01:56:47.911, 0, 0, 22977, 24564, 47, 80.39
2026/08/29 01:56:47.914, 1, 0, 22758, 24564, 46, 54.11
2026/08/29 01:56:52.939, 0, 100, 22997, 24564, 56, 275.50
2026/08/29 01:56:52.943, 1, 100, 22778, 24564, 57, 262.52
2026/08/29 01:56:57.970, 0, 100, 22997, 24564, 56, 278.89
2026/08/29 01:56:57.973, 1, 100, 22778, 24564, 59, 262.68
2026/08/29 01:57:03.001, 0, 100, 22997, 24564, 55, 277.49
2026/08/29 01:57:03.004, 1, 100, 22778, 24564, 56, 265.04
2026/08/29 01:57:08.032, 0, 100, 22997, 24564, 55, 286.26
2026/08/29 01:57:08.037, 1, 100, 22778, 24564, 57, 269.84
2026/08/29 01:57:13.067, 0, 100, 22997, 24564, 56, 280.44
2026/08/29 01:57:13.072, 1, 100, 22778, 24564, 60, 266.02
2026/08/29 01:57:18.107, 0, 100, 22997, 24564, 56, 280.17
2026/08/29 01:57:18.111, 1, 100, 22778, 24564, 57, 266.85
2026/08/29 01:57:23.140, 0, 100, 22997, 24564, 56, 286.44
2026/08/29 01:57:23.145, 1, 100, 22778, 24564, 58, 271.05
2026/08/29 01:57:28.175, 0, 100, 22997, 24564, 56, 286.43
2026/08/29 01:57:28.180, 1, 100, 22778, 24564, 58, 271.87
2026/08/29 01:57:33.220, 0, 0, 22997, 24564, 49, 91.86
2026/08/29 01:57:33.226, 1, 0, 22778, 24564, 50, 94.23
2026/08/29 01:57:38.257, 0, 100, 22997, 24564, 56, 286.20
2026/08/29 01:57:38.261, 1, 100, 22778, 24564, 58, 270.81
2026/08/29 01:57:43.290, 0, 100, 22997, 24564, 57, 290.35
2026/08/29 01:57:43.293, 1, 100, 22778, 24564, 58, 275.74
2026/08/29 01:57:48.322, 0, 100, 22997, 24564, 59, 283.86
2026/08/29 01:57:48.326, 1, 100, 22778, 24564, 61, 269.25
2026/08/29 01:57:53.358, 0, 100, 22997, 24564, 57, 283.04
2026/08/29 01:57:53.363, 1, 100, 22778, 24564, 59, 269.67
2026/08/29 01:57:58.392, 0, 100, 22997, 24564, 57, 282.12
2026/08/29 01:57:58.396, 1, 100, 22778, 24564, 59, 269.94
2026/08/29 01:58:03.426, 0, 100, 22997, 24564, 58, 290.39
2026/08/29 01:58:03.430, 1, 100, 22778, 24564, 59, 277.40
2026/08/29 01:58:08.459, 0, 100, 22997, 24564, 59, 284.68
2026/08/29 01:58:08.463, 1, 100, 22778, 24564, 62, 272.98
2026/08/29 01:58:13.492, 0, 100, 22997, 24564, 59, 281.88
2026/08/29 01:58:13.496, 1, 100, 22778, 24564, 61, 269.66
2026/08/29 01:58:18.525, 0, 100, 22997, 24564, 58, 284.97
2026/08/29 01:58:18.528, 1, 100, 22778, 24564, 60, 273.44
2026/08/29 01:58:23.563, 0, 100, 22997, 24564, 57, 281.05
2026/08/29 01:58:23.568, 1, 100, 22778, 24564, 59, 270.87
2026/08/29 01:58:28.598, 0, 100, 22997, 24564, 57, 282.92
2026/08/29 01:58:28.603, 1, 100, 22778, 24564, 59, 270.66
2026/08/29 01:58:33.633, 0, 100, 22997, 24564, 61, 287.88
2026/08/29 01:58:33.636, 1, 100, 22778, 24564, 62, 273.37
2026/08/29 01:58:38.664, 0, 100, 22997, 24564, 61, 295.97
2026/08/29 01:58:38.668, 1, 100, 22778, 24564, 62, 283.17
2026/08/29 01:58:43.698, 0, 100, 22997, 24564, 58, 285.43
2026/08/29 01:58:43.703, 1, 100, 22778, 24564, 59, 272.00
2026/08/29 01:58:48.734, 0, 100, 22997, 24564, 58, 280.07
2026/08/29 01:58:48.738, 1, 100, 22778, 24564, 59, 267.22
2026/08/29 01:58:53.768, 0, 100, 22997, 24564, 58, 290.46
2026/08/29 01:58:53.772, 1, 100, 22778, 24564, 59, 275.41
2026/08/29 01:58:58.808, 0, 100, 22997, 24564, 58, 282.30
2026/08/29 01:58:58.812, 1, 100, 22778, 24564, 59, 268.58
2026/08/29 01:59:03.842, 0, 100, 22997, 24564, 58, 296.49
2026/08/29 01:59:03.847, 1, 100, 22778, 24564, 59, 282.14
2026/08/29 01:59:08.879, 0, 100, 22997, 24564, 58, 291.51
2026/08/29 01:59:08.884, 1, 100, 22778, 24564, 59, 276.25
2026/08/29 01:59:13.915, 0, 100, 22997, 24564, 58, 293.98
2026/08/29 01:59:13.919, 1, 100, 22778, 24564, 59, 280.36
2026/08/29 01:59:18.950, 0, 100, 22997, 24564, 58, 225.34
2026/08/29 01:59:18.955, 1, 100, 22778, 24564, 59, 192.98
2026/08/29 01:59:23.985, 0, 100, 22997, 24564, 62, 291.75
2026/08/29 01:59:23.988, 1, 100, 22778, 24564, 62, 275.61
