# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/29 02:42:41.621, 0, 0, 22257, 24564, 47, 79.79
2026/08/29 02:42:41.624, 1, 0, 22038, 24564, 46, 54.09
2026/08/29 02:42:46.649, 0, 100, 22277, 24564, 57, 274.79
2026/08/29 02:42:46.652, 1, 100, 22058, 24564, 57, 261.19
2026/08/29 02:42:51.681, 0, 100, 22277, 24564, 55, 276.51
2026/08/29 02:42:51.684, 1, 100, 22058, 24564, 59, 261.26
2026/08/29 02:42:56.712, 0, 100, 22277, 24564, 54, 276.51
2026/08/29 02:42:56.715, 1, 100, 22058, 24564, 56, 264.31
2026/08/29 02:43:01.742, 0, 100, 22277, 24564, 55, 284.66
2026/08/29 02:43:01.746, 1, 100, 22058, 24564, 57, 270.39
2026/08/29 02:43:06.777, 0, 100, 22277, 24564, 56, 279.33
2026/08/29 02:43:06.781, 1, 100, 22058, 24564, 60, 266.36
2026/08/29 02:43:11.811, 0, 100, 22277, 24564, 57, 278.17
2026/08/29 02:43:11.815, 1, 100, 22058, 24564, 57, 266.39
2026/08/29 02:43:16.845, 0, 100, 22277, 24564, 56, 285.41
2026/08/29 02:43:16.856, 1, 100, 22058, 24564, 58, 272.67
2026/08/29 02:43:21.887, 0, 100, 22277, 24564, 56, 285.89
2026/08/29 02:43:21.892, 1, 100, 22058, 24564, 58, 272.44
2026/08/29 02:43:26.931, 0, 0, 22277, 24564, 49, 89.67
2026/08/29 02:43:26.937, 1, 0, 22058, 24564, 49, 91.91
2026/08/29 02:43:31.970, 0, 100, 22277, 24564, 56, 284.84
2026/08/29 02:43:31.974, 1, 100, 22058, 24564, 58, 271.28
2026/08/29 02:43:37.004, 0, 100, 22277, 24564, 56, 289.89
2026/08/29 02:43:37.008, 1, 100, 22058, 24564, 58, 274.46
2026/08/29 02:43:42.038, 0, 100, 22277, 24564, 58, 282.49
2026/08/29 02:43:42.042, 1, 100, 22058, 24564, 61, 268.29
2026/08/29 02:43:47.069, 0, 100, 22277, 24564, 57, 283.14
2026/08/29 02:43:47.073, 1, 100, 22058, 24564, 59, 267.98
2026/08/29 02:43:52.110, 0, 100, 22277, 24564, 57, 281.58
2026/08/29 02:43:52.114, 1, 100, 22058, 24564, 59, 267.89
2026/08/29 02:43:57.143, 0, 100, 22277, 24564, 57, 290.71
2026/08/29 02:43:57.147, 1, 100, 22058, 24564, 59, 276.41
2026/08/29 02:44:02.177, 0, 100, 22277, 24564, 59, 284.50
2026/08/29 02:44:02.181, 1, 100, 22058, 24564, 62, 270.88
2026/08/29 02:44:07.213, 0, 100, 22277, 24564, 59, 282.50
2026/08/29 02:44:07.217, 1, 100, 22058, 24564, 62, 267.27
2026/08/29 02:44:12.248, 0, 100, 22277, 24564, 58, 284.20
2026/08/29 02:44:12.252, 1, 100, 22058, 24564, 60, 270.57
2026/08/29 02:44:17.282, 0, 100, 22277, 24564, 57, 279.87
2026/08/29 02:44:17.286, 1, 100, 22058, 24564, 59, 268.43
2026/08/29 02:44:22.317, 0, 100, 22277, 24564, 57, 284.17
2026/08/29 02:44:22.321, 1, 100, 22058, 24564, 59, 269.98
2026/08/29 02:44:27.351, 0, 100, 22277, 24564, 60, 287.87
2026/08/29 02:44:27.354, 1, 100, 22058, 24564, 63, 272.23
2026/08/29 02:44:32.381, 0, 100, 22277, 24564, 59, 295.93
2026/08/29 02:44:32.385, 1, 100, 22058, 24564, 62, 283.01
2026/08/29 02:44:37.413, 0, 100, 22277, 24564, 58, 284.98
2026/08/29 02:44:37.418, 1, 100, 22058, 24564, 59, 271.84
2026/08/29 02:44:42.449, 0, 100, 22277, 24564, 57, 279.39
2026/08/29 02:44:42.453, 1, 100, 22058, 24564, 59, 267.60
2026/08/29 02:44:47.484, 0, 100, 22277, 24564, 58, 289.55
2026/08/29 02:44:47.488, 1, 100, 22058, 24564, 59, 276.83
2026/08/29 02:44:52.519, 0, 100, 22277, 24564, 57, 282.20
2026/08/29 02:44:52.523, 1, 100, 22058, 24564, 59, 269.94
2026/08/29 02:44:57.553, 0, 100, 22277, 24564, 58, 295.20
2026/08/29 02:44:57.558, 1, 100, 22058, 24564, 60, 282.69
2026/08/29 02:45:02.587, 0, 100, 22277, 24564, 58, 291.66
2026/08/29 02:45:02.592, 1, 100, 22058, 24564, 60, 276.46
2026/08/29 02:45:07.621, 0, 100, 22277, 24564, 58, 293.01
2026/08/29 02:45:07.626, 1, 100, 22058, 24564, 60, 279.53
2026/08/29 02:45:12.657, 0, 100, 22277, 24564, 58, 232.23
2026/08/29 02:45:12.662, 1, 100, 22058, 24564, 60, 196.36
2026/08/29 02:45:17.693, 0, 100, 22277, 24564, 61, 290.00
2026/08/29 02:45:17.696, 1, 100, 22058, 24564, 64, 273.61
2026/08/29 02:45:22.725, 0, 100, 22277, 24564, 58, 292.92
2026/08/29 02:45:22.730, 1, 100, 22058, 24564, 60, 278.51
