# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/29 10:06:26.768, 0, 0, 16957, 24564, 46, 79.43
2026/08/29 10:06:26.771, 1, 0, 16738, 24564, 46, 54.01
2026/08/29 10:06:31.795, 0, 100, 16977, 24564, 56, 274.33
2026/08/29 10:06:31.798, 1, 100, 16758, 24564, 57, 260.65
2026/08/29 10:06:36.823, 0, 100, 16977, 24564, 55, 277.21
2026/08/29 10:06:36.827, 1, 100, 16758, 24564, 57, 261.56
2026/08/29 10:06:41.856, 0, 100, 16977, 24564, 54, 275.51
2026/08/29 10:06:41.859, 1, 100, 16758, 24564, 56, 263.54
2026/08/29 10:06:46.887, 0, 100, 16977, 24564, 55, 283.68
2026/08/29 10:06:46.891, 1, 100, 16758, 24564, 56, 269.48
2026/08/29 10:06:51.921, 0, 100, 16977, 24564, 56, 279.31
2026/08/29 10:06:51.925, 1, 100, 16758, 24564, 59, 265.74
2026/08/29 10:06:56.954, 0, 100, 16977, 24564, 55, 278.66
2026/08/29 10:06:56.958, 1, 100, 16758, 24564, 57, 267.13
2026/08/29 10:07:01.987, 0, 100, 16977, 24564, 56, 284.74
2026/08/29 10:07:01.996, 1, 100, 16758, 24564, 58, 271.57
2026/08/29 10:07:07.028, 0, 100, 16977, 24564, 56, 284.83
2026/08/29 10:07:07.032, 1, 100, 16758, 24564, 58, 271.14
2026/08/29 10:07:12.070, 0, 0, 16977, 24564, 49, 111.26
2026/08/29 10:07:12.076, 1, 0, 16758, 24564, 50, 97.43
2026/08/29 10:07:17.101, 0, 100, 16977, 24564, 56, 285.23
2026/08/29 10:07:17.105, 1, 100, 16758, 24564, 58, 271.06
2026/08/29 10:07:22.133, 0, 100, 16977, 24564, 56, 289.66
2026/08/29 10:07:22.136, 1, 100, 16758, 24564, 58, 274.23
2026/08/29 10:07:27.163, 0, 100, 16977, 24564, 59, 281.03
2026/08/29 10:07:27.167, 1, 100, 16758, 24564, 61, 267.82
2026/08/29 10:07:32.195, 0, 100, 16977, 24564, 58, 280.87
2026/08/29 10:07:32.198, 1, 100, 16758, 24564, 62, 266.33
2026/08/29 10:07:37.228, 0, 100, 16977, 24564, 57, 290.22
2026/08/29 10:07:37.231, 1, 100, 16758, 24564, 59, 276.27
2026/08/29 10:07:42.260, 0, 100, 16977, 24564, 59, 291.63
2026/08/29 10:07:42.263, 1, 100, 16758, 24564, 63, 276.07
2026/08/29 10:07:47.289, 0, 100, 16977, 24564, 59, 301.04
2026/08/29 10:07:47.292, 1, 100, 16758, 24564, 62, 289.16
2026/08/29 10:07:52.319, 0, 100, 16977, 24564, 59, 303.38
2026/08/29 10:07:52.323, 1, 100, 16758, 24564, 61, 289.19
2026/08/29 10:07:57.353, 0, 100, 16977, 24564, 60, 290.78
2026/08/29 10:07:57.356, 1, 100, 16758, 24564, 62, 276.02
2026/08/29 10:08:02.385, 0, 100, 16977, 24564, 59, 298.20
2026/08/29 10:08:02.389, 1, 100, 16758, 24564, 62, 286.04
2026/08/29 10:08:07.416, 0, 100, 16977, 24564, 61, 298.44
2026/08/29 10:08:07.419, 1, 100, 16758, 24564, 64, 285.18
2026/08/29 10:08:12.445, 0, 100, 16977, 24564, 59, 293.51
2026/08/29 10:08:12.449, 1, 100, 16758, 24564, 61, 280.57
2026/08/29 10:08:17.476, 0, 100, 16977, 24564, 61, 294.41
2026/08/29 10:08:17.479, 1, 100, 16758, 24564, 64, 280.39
2026/08/29 10:08:22.506, 0, 100, 16977, 24564, 60, 291.76
2026/08/29 10:08:22.510, 1, 100, 16758, 24564, 64, 277.58
2026/08/29 10:08:27.536, 0, 100, 16977, 24564, 61, 292.78
2026/08/29 10:08:27.539, 1, 100, 16758, 24564, 64, 277.19
2026/08/29 10:08:32.566, 0, 100, 16977, 24564, 61, 294.75
2026/08/29 10:08:32.569, 1, 100, 16758, 24564, 62, 279.48
2026/08/29 10:08:37.594, 0, 100, 16977, 24564, 59, 296.21
2026/08/29 10:08:37.597, 1, 100, 16758, 24564, 61, 281.52
2026/08/29 10:08:42.625, 0, 100, 16977, 24564, 59, 294.65
2026/08/29 10:08:42.629, 1, 100, 16758, 24564, 61, 279.07
2026/08/29 10:08:47.658, 0, 100, 16977, 24564, 62, 292.48
2026/08/29 10:08:47.661, 1, 100, 16758, 24564, 63, 275.58
2026/08/29 10:08:52.688, 0, 100, 16977, 24564, 61, 292.06
2026/08/29 10:08:52.692, 1, 100, 16758, 24564, 63, 275.40
2026/08/29 10:08:57.719, 0, 100, 16977, 24564, 61, 292.57
2026/08/29 10:08:57.722, 1, 100, 16758, 24564, 62, 275.05
2026/08/29 10:09:02.750, 0, 100, 16977, 24564, 60, 294.33
2026/08/29 10:09:02.753, 1, 100, 16758, 24564, 64, 275.94
2026/08/29 10:09:07.779, 0, 100, 16977, 24564, 62, 296.08
2026/08/29 10:09:07.783, 1, 100, 16758, 24564, 62, 278.79
2026/08/29 10:09:12.810, 0, 100, 16977, 24564, 59, 296.03
2026/08/29 10:09:12.813, 1, 100, 16758, 24564, 61, 278.25
2026/08/29 10:09:17.841, 0, 100, 16977, 24564, 61, 290.29
2026/08/29 10:09:17.844, 1, 100, 16758, 24564, 63, 275.59
2026/08/29 10:09:22.870, 0, 100, 16977, 24564, 62, 293.65
2026/08/29 10:09:22.873, 1, 100, 16758, 24564, 62, 276.07
2026/08/29 10:09:27.899, 0, 100, 16977, 24564, 61, 293.82
2026/08/29 10:09:27.902, 1, 100, 16758, 24564, 63, 277.18
2026/08/29 10:09:32.929, 0, 100, 16977, 24564, 63, 291.64
2026/08/29 10:09:32.932, 1, 100, 16758, 24564, 64, 274.74
2026/08/29 10:09:37.959, 0, 100, 16977, 24564, 62, 293.52
2026/08/29 10:09:37.962, 1, 100, 16758, 24564, 64, 277.94
