# timestamp, index, util.gpu[%], mem.used[MiB], mem.total[MiB], temp[C], power[W]
2026/08/29 10:24:52.266, 0, 0, 20557, 24564, 47, 80.11
2026/08/29 10:24:52.269, 1, 0, 20338, 24564, 46, 53.93
2026/08/29 10:24:57.293, 0, 100, 20577, 24564, 56, 274.92
2026/08/29 10:24:57.297, 1, 100, 20358, 24564, 57, 259.48
2026/08/29 10:25:02.322, 0, 100, 20577, 24564, 55, 275.87
2026/08/29 10:25:02.326, 1, 100, 20358, 24564, 57, 258.58
2026/08/29 10:25:07.354, 0, 100, 20577, 24564, 54, 276.48
2026/08/29 10:25:07.357, 1, 100, 20358, 24564, 56, 262.42
2026/08/29 10:25:12.384, 0, 100, 20577, 24564, 55, 284.10
2026/08/29 10:25:12.389, 1, 100, 20358, 24564, 56, 268.83
2026/08/29 10:25:17.424, 0, 100, 20577, 24564, 56, 278.83
2026/08/29 10:25:17.428, 1, 100, 20358, 24564, 57, 264.79
2026/08/29 10:25:22.456, 0, 100, 20577, 24564, 56, 278.35
2026/08/29 10:25:22.460, 1, 100, 20358, 24564, 59, 264.49
2026/08/29 10:25:27.489, 0, 100, 20577, 24564, 58, 286.06
2026/08/29 10:25:27.493, 1, 100, 20358, 24564, 57, 270.16
2026/08/29 10:25:32.525, 0, 100, 20577, 24564, 56, 286.02
2026/08/29 10:25:32.529, 1, 100, 20358, 24564, 58, 271.22
2026/08/29 10:25:37.569, 0, 0, 20577, 24564, 49, 90.22
2026/08/29 10:25:37.575, 1, 0, 20358, 24564, 49, 69.86
2026/08/29 10:25:42.612, 0, 100, 20577, 24564, 56, 285.09
2026/08/29 10:25:42.616, 1, 100, 20358, 24564, 58, 269.63
2026/08/29 10:25:47.645, 0, 100, 20577, 24564, 56, 289.06
2026/08/29 10:25:47.648, 1, 100, 20358, 24564, 58, 274.58
2026/08/29 10:25:52.677, 0, 100, 20577, 24564, 59, 282.57
2026/08/29 10:25:52.680, 1, 100, 20358, 24564, 61, 269.37
2026/08/29 10:25:57.709, 0, 100, 20577, 24564, 56, 282.30
2026/08/29 10:25:57.713, 1, 100, 20358, 24564, 58, 268.62
2026/08/29 10:26:02.742, 0, 100, 20577, 24564, 57, 281.39
2026/08/29 10:26:02.746, 1, 100, 20358, 24564, 59, 266.57
2026/08/29 10:26:07.776, 0, 100, 20577, 24564, 57, 291.01
2026/08/29 10:26:07.780, 1, 100, 20358, 24564, 59, 275.39
2026/08/29 10:26:12.807, 0, 100, 20577, 24564, 60, 284.66
2026/08/29 10:26:12.811, 1, 100, 20358, 24564, 62, 269.36
2026/08/29 10:26:17.840, 0, 100, 20577, 24564, 60, 281.82
2026/08/29 10:26:17.849, 1, 100, 20358, 24564, 61, 267.72
2026/08/29 10:26:22.879, 0, 100, 20577, 24564, 58, 284.61
2026/08/29 10:26:22.883, 1, 100, 20358, 24564, 60, 269.12
2026/08/29 10:26:27.911, 0, 100, 20577, 24564, 57, 280.57
2026/08/29 10:26:27.915, 1, 100, 20358, 24564, 59, 265.61
2026/08/29 10:26:32.946, 0, 100, 20577, 24564, 57, 283.87
2026/08/29 10:26:32.951, 1, 100, 20358, 24564, 59, 269.20
2026/08/29 10:26:37.979, 0, 100, 20577, 24564, 60, 286.37
2026/08/29 10:26:37.982, 1, 100, 20358, 24564, 62, 270.20
2026/08/29 10:26:43.010, 0, 100, 20577, 24564, 58, 296.24
2026/08/29 10:26:43.014, 1, 100, 20358, 24564, 61, 280.52
2026/08/29 10:26:48.045, 0, 100, 20577, 24564, 57, 284.66
2026/08/29 10:26:48.050, 1, 100, 20358, 24564, 59, 270.22
2026/08/29 10:26:53.080, 0, 100, 20577, 24564, 57, 282.82
2026/08/29 10:26:53.084, 1, 100, 20358, 24564, 59, 269.48
2026/08/29 10:26:58.112, 0, 100, 20597, 24564, 59, 288.28
2026/08/29 10:26:58.115, 1, 100, 20378, 24564, 63, 270.60
2026/08/29 10:27:03.142, 0, 100, 20597, 24564, 60, 290.01
2026/08/29 10:27:03.145, 1, 100, 20378, 24564, 64, 272.21
2026/08/29 10:27:08.171, 0, 100, 20597, 24564, 58, 292.41
2026/08/29 10:27:08.175, 1, 100, 20378, 24564, 60, 278.63
2026/08/29 10:27:13.204, 0, 100, 20597, 24564, 60, 287.51
2026/08/29 10:27:13.208, 1, 100, 20378, 24564, 62, 271.54
2026/08/29 10:27:18.240, 0, 100, 20597, 24564, 59, 291.53
2026/08/29 10:27:18.244, 1, 100, 20378, 24564, 63, 274.47
2026/08/29 10:27:23.272, 0, 100, 20597, 24564, 59, 287.46
2026/08/29 10:27:23.275, 1, 100, 20378, 24564, 62, 272.14
2026/08/29 10:27:28.305, 0, 100, 20597, 24564, 61, 287.04
2026/08/29 10:27:28.308, 1, 100, 20378, 24564, 61, 270.37
2026/08/29 10:27:33.335, 0, 100, 20597, 24564, 61, 291.97
2026/08/29 10:27:33.338, 1, 100, 20378, 24564, 62, 274.50
