# timestamp,index,temperature.gpu,clocks.sm,clocks.mem,power.draw,utilization.gpu,memory.used,clocks_event_reasons.active
2026/08/29 09:51:22.050, 0, 38, 210, 405, 31.45, 0, 237, 0x0000000000000001
2026/08/29 09:51:22.054, 1, 43, 210, 405, 18.03, 0, 18, 0x0000000000000001
2026/08/29 09:52:22.081, 0, 47, 2820, 10251, 275.98, 100, 20577, 0x0000000000000000
2026/08/29 09:52:22.086, 1, 57, 2805, 10251, 269.11, 100, 20358, 0x0000000000000000
2026/08/29 09:53:22.119, 0, 51, 2805, 10251, 280.80, 100, 20577, 0x0000000000000000
2026/08/29 09:53:22.123, 1, 58, 2820, 10251, 272.06, 100, 20358, 0x0000000000000000
2026/08/29 09:54:22.154, 0, 53, 2805, 10251, 287.25, 100, 20597, 0x0000000000000000
2026/08/29 09:54:22.157, 1, 57, 2820, 10251, 276.05, 100, 20378, 0x0000000000000000
2026/08/29 09:55:22.185, 0, 45, 2820, 10251, 150.55, 32, 19947, 0x0000000000000000
2026/08/29 09:55:22.188, 1, 47, 2820, 10251, 124.95, 37, 19728, 0x0000000000000000
2026/08/29 09:56:22.218, 0, 53, 2805, 10251, 282.11, 100, 20577, 0x0000000000000000
2026/08/29 09:56:22.223, 1, 56, 2820, 10251, 268.14, 100, 20358, 0x0000000000000000
2026/08/29 09:57:22.253, 0, 55, 2805, 10251, 292.58, 100, 20577, 0x0000000000000000
2026/08/29 09:57:22.257, 1, 59, 2805, 10251, 280.39, 100, 20358, 0x0000000000000000
2026/08/29 09:58:22.285, 0, 47, 390, 810, 66.77, 0, 237, 0x0000000000000001
2026/08/29 09:58:22.288, 1, 48, 405, 5001, 45.08, 0, 18, 0x0000000000000001
2026/08/29 09:59:22.317, 0, 55, 2805, 10251, 281.60, 100, 16977, 0x0000000000000000
2026/08/29 09:59:22.320, 1, 57, 2820, 10251, 265.25, 100, 16758, 0x0000000000000000
2026/08/29 10:00:22.349, 0, 58, 2805, 10251, 309.58, 100, 16977, 0x0000000000000000
2026/08/29 10:00:22.353, 1, 61, 2805, 10251, 296.93, 100, 16758, 0x0000000000000000
2026/08/29 10:01:22.382, 0, 58, 2805, 10251, 292.64, 100, 16977, 0x0000000000000000
2026/08/29 10:01:22.386, 1, 60, 2805, 10251, 277.86, 100, 16758, 0x0000000000000000
2026/08/29 10:02:22.428, 0, 48, 210, 405, 43.51, 0, 237, 0x0000000000000001
2026/08/29 10:02:22.432, 1, 48, 210, 810, 25.24, 0, 18, 0x0000000000000001
2026/08/29 10:03:22.459, 0, 56, 2805, 10251, 279.48, 100, 20577, 0x0000000000000000
2026/08/29 10:03:22.463, 1, 59, 2820, 10251, 264.42, 100, 20358, 0x0000000000000000
2026/08/29 10:04:22.490, 0, 57, 2805, 10251, 284.39, 100, 20577, 0x0000000000000000
2026/08/29 10:04:22.494, 1, 59, 2805, 10251, 272.04, 100, 20358, 0x0000000000000000
2026/08/29 10:05:22.523, 0, 57, 2805, 10251, 285.42, 100, 20597, 0x0000000000000000
2026/08/29 10:05:22.527, 1, 60, 2805, 10251, 273.26, 100, 20378, 0x0000000000000000
2026/08/29 10:06:22.571, 0, 47, 2625, 10251, 82.85, 0, 16957, 0x0000000000000000
2026/08/29 10:06:22.577, 1, 46, 2610, 10251, 59.43, 0, 16738, 0x0000000000000000
2026/08/29 10:07:22.604, 0, 57, 2805, 10251, 287.32, 100, 16977, 0x0000000000000000
2026/08/29 10:07:22.608, 1, 58, 2820, 10251, 273.11, 100, 16758, 0x0000000000000000
2026/08/29 10:08:22.638, 0, 60, 2805, 10251, 291.76, 100, 16977, 0x0000000000000000
2026/08/29 10:08:22.641, 1, 64, 2805, 10251, 277.58, 100, 16758, 0x0000000000000000
2026/08/29 10:09:22.667, 0, 62, 2790, 10251, 293.65, 100, 16977, 0x0000000000000000
2026/08/29 10:09:22.670, 1, 62, 2805, 10251, 276.07, 100, 16758, 0x0000000000000000
2026/08/29 10:10:22.698, 0, 57, 2805, 10251, 282.46, 100, 20577, 0x0000000000000000
2026/08/29 10:10:22.702, 1, 58, 2820, 10251, 266.19, 100, 20358, 0x0000000000000000
2026/08/29 10:11:22.729, 0, 57, 2805, 10251, 279.93, 100, 20577, 0x0000000000000000
2026/08/29 10:11:22.732, 1, 58, 2820, 10251, 267.22, 100, 20358, 0x0000000000000000
2026/08/29 10:12:22.767, 0, 51, 2805, 10251, 123.89, 0, 20577, 0x0000000000000000
2026/08/29 10:12:22.773, 1, 52, 2820, 10251, 94.10, 0, 20358, 0x0000000000000000
2026/08/29 10:13:22.801, 0, 48, 210, 405, 40.54, 0, 237, 0x0000000000000001
