# timestamp,index,temperature.gpu,clocks.sm,clocks.mem,power.draw,utilization.gpu,memory.used,clocks_event_reasons.active
2026/08/29 01:19:34.129, 0, 38, 210, 405, 31.83, 0, 237, 0x0000000000000001
2026/08/29 01:19:34.133, 1, 44, 210, 405, 18.42, 0, 18, 0x0000000000000001
2026/08/29 01:20:34.160, 0, 47, 2820, 10251, 273.17, 100, 22997, 0x0000000000000000
2026/08/29 01:20:34.163, 1, 57, 2805, 10251, 267.05, 100, 22778, 0x0000000000000000
2026/08/29 01:21:34.192, 0, 52, 2805, 10251, 280.08, 100, 22997, 0x0000000000000000
2026/08/29 01:21:34.197, 1, 58, 2805, 10251, 268.73, 100, 22778, 0x0000000000000000
2026/08/29 01:22:34.227, 0, 54, 2805, 10251, 281.50, 100, 22997, 0x0000000000000000
2026/08/29 01:22:34.230, 1, 58, 2805, 10251, 270.48, 100, 22778, 0x0000000000000000
2026/08/29 01:23:34.258, 0, 54, 2805, 10251, 276.18, 100, 22997, 0x0000000000000000
2026/08/29 01:23:34.262, 1, 56, 2820, 10251, 263.31, 100, 22778, 0x0000000000000000
2026/08/29 01:24:34.291, 0, 54, 2805, 10251, 283.82, 100, 22997, 0x0000000000000000
2026/08/29 01:24:34.296, 1, 58, 2820, 10251, 272.19, 100, 22778, 0x0000000000000000
2026/08/29 01:25:34.332, 0, 56, 2805, 10251, 289.13, 100, 22997, 0x0000000000000000
2026/08/29 01:25:34.335, 1, 59, 2805, 10251, 273.98, 100, 22778, 0x0000000000000000
2026/08/29 01:26:34.362, 0, 51, 2805, 10251, 236.33, 100, 20385, 0x0000000000000000
2026/08/29 01:26:34.364, 1, 58, 2820, 10251, 218.77, 66, 20166, 0x0000000000000000
2026/08/29 01:27:34.389, 0, 54, 2805, 10251, 157.47, 100, 22277, 0x0000000000000000
2026/08/29 01:27:34.393, 1, 57, 2820, 10251, 139.05, 100, 22058, 0x0000000000000000
2026/08/29 01:28:34.421, 0, 57, 2805, 10251, 287.38, 100, 22277, 0x0000000000000000
2026/08/29 01:28:34.425, 1, 60, 2805, 10251, 271.33, 100, 22058, 0x0000000000000000
2026/08/29 01:29:34.453, 0, 49, 390, 5001, 71.70, 0, 237, 0x0000000000000001
2026/08/29 01:29:34.454, 1, 49, 390, 5001, 47.60, 0, 18, 0x0000000000000001
2026/08/29 01:30:34.479, 0, 55, 2805, 10251, 276.82, 100, 22997, 0x0000000000000000
2026/08/29 01:30:34.484, 1, 57, 2820, 10251, 264.25, 100, 22778, 0x0000000000000000
2026/08/29 01:31:34.514, 0, 57, 2805, 10251, 284.27, 100, 22997, 0x0000000000000000
2026/08/29 01:31:34.519, 1, 60, 2805, 10251, 270.20, 100, 22778, 0x0000000000000000
2026/08/29 01:32:34.549, 0, 58, 2805, 10251, 290.92, 100, 22997, 0x0000000000000000
2026/08/29 01:32:34.555, 1, 60, 2805, 10251, 276.21, 100, 22778, 0x0000000000000000
2026/08/29 01:33:34.585, 0, 58, 2805, 10251, 279.30, 100, 22277, 0x0000000000000000
